id_envio,fecha_operacion,cantidad_paquetes,peso_paquete_kg,tarifa_base,descuento_pct,canal,metodo_pago,calificacion,costo_envio,observacion,sedes_nombre,sedes_distrito,sedes_zona,tipos_envio_nombre,tipos_envio_categoria,tipos_envio_tarifa_base,clientes_nombre,clientes_distrito,clientes_segmento,clientes_fecha_registro
15,2026-01-21,2,11.36,51.69, 20 ,Telefono,  Tarjeta ,2,76.89 aprox,Cliente frecuente,Sede 3,Independencia,Sur,Fragil,  Especial ,51.69,Carlos Soto,Callao,Nuevo,2025-07-25
16,2026-01-09,2,30.72,89.36,12,App,Plin,2,"131,22",Promocion,Sede 5,lima,Oeste,Refrigerado,EsPeCiAl,89.36,,Ate,Premium,2025-10-09
17,2026-05-23,4,14.93,8.28,8,Web,Yape,2, 60.32 ,Cliente frecuente,Sede 1,,  Este ,Documento,LIVIANO,8.28,Marco Paredes,  La Molina ,Premium,2025-10-13
18,13-06-2026,7 aprox,14.88,57.44,8,App,  Tarjeta ,3,112.52,,Sede 3,Independencia,Sur,Courier empresarial,Empresa,57.44,Maria Quispe,San Miguel,Corporativo,2025-10-22
19,2026-02-07,8,16.55,26.64,0,Telefono,  Yape ,1,,OK,Sede 3,Independencia,Sur,Paquete mediano,Regular,26.64,Elena Rojas,CHORRILLOS,PrEmIuM,2025-08-03
20,2026-03-03,5,14.13,"43,99",10,WhatsApp,Transferencia,3,80.76,Ok,Sede 5,lima,Oeste,Paquete grande,Regular,43.99,Fiorella Ramos,Surco,Regular, 2025-06-26 
21,2026-04-28,7,9.62,43.99,0,Telefono,Efectivo,2,101.53,Revisar,Sede 4,SaN MiGuEl,  Este ,Paquete grande,Regular,43.99,Raul Navarro,SURCO,PREMIUM,2025-05-27
22,2026-06-15,1,26.74,51.69,0,App,,4,104.09,Cliente frecuente,Sede 6,Surco,centro,Fragil,  Especial ,51.69,Carlos Quispe,San Miguel,CORPORATIVO,2025-04-17
23,2026-03-18,1,30.6,14.68,0,App,Tarjeta,2,87.4,Promocion,Sede 5,lima,Oeste,Paquete pequeno,Liviano,14.68,Andre Mendoza,Ate,Frecuente,2025/10/26
24,2026-03-09,3,19.75,118.81,8,Presencial,Plin,3,"140,39",Promocion,Sede 6,Surco,centro,Mudanza pequena,Volumen,118.81,Fiorella Paredes,La  Molina,Corporativo,2025-09-26
25,2026-06-26,5,2.7, 76.22 ,0,Telefono,,3,117.76,Revisar,Sede 5,lima,Oeste,Express,,76.22,Diego Sayan,,Nuevo,2025-05-16
26,2026-04-26,4,21.51,118.81,10,App,Tarjeta,2,167.22,Promocion,Sede 5,lima,Oeste,Mudanza pequena,Volumen,118.81,Claudia Rojas,San Juan de Lurigancho,Corporativo,06/01/2025
27,2026-04-27,3,12.26,89.36,8,App,Plin,1,105.61,Cliente frecuente,Sede 6,Surco,centro,Refrigerado,EsPeCiAl,89.36,Fiorella Gomez,Lima,Corporativo,16-04-2025
28,2026-03-20,6,23.65,51.69,0,Telefono,Efectivo, 1 ,108.27,,Sede 6,Surco,centro,Fragil,  Especial ,51.69,Sofia Ramos,Ventanilla,Frecuente, 2025-01-03 
29,2026-05-18,1,20.17,89.36,0,App,Efectivo,1 aprox,138.07,Revisar,Sede 6,Surco,centro,Refrigerado,EsPeCiAl,89.36,Elena Rojas,CHORRILLOS,PrEmIuM,2025-08-03
30,2026-03-05,6,15.61,118.81,0,App,TaRjEtA,1 aprox,177.27,Cliente frecuente,Sede 1,,  Este ,Mudanza pequena,Volumen,118.81,Miguel Reyes,Surco,Premium,2025/01/09
31,2026-06-13,7,19.98,89.36 aprox,5,,Efectivo,3,150.06,  OK ,Sede 1,,  Este ,Refrigerado,EsPeCiAl,89.36,Miguel Mendoza,Comas,Corporativo,2025-06-02
32,2026-02-07,8,,8.28,20,App,Plin,2,60.41,,Sede 4,SaN MiGuEl,  Este ,Documento,LIVIANO,8.28,Fiorella Huaman,Ventanilla,Premium,2025-05-05
33,2026/06/15,2,30.07,89.36,0,  WhatsApp ,PLIN,1,130.38,Promocion,Sede 6,Surco,centro,Refrigerado,EsPeCiAl,89.36,Lucia Campos,  Independencia ,Frecuente,2025-05-03
34,2026-01-01,6,14.91,51.69,0,  Web ,Tarjeta,5,102.15 aprox,,Sede 6,Surco,centro,Fragil,  Especial ,51.69,Fiorella Mendoza,Los Olivos,Premium,2025-12-22
35,2026-02-01,8,10.31 aprox,89.36,0,Presencial,Plin,4,124.12,Cliente frecuente,  Sede 2 ,Chorrillos,Sur,Refrigerado,EsPeCiAl,89.36,Miguel Navarro,La Molina,Regular,2025-06-17
36,2026-04-26,7,17.24,S/ 43.99,15,Presencial,Yape,3,113.2,Promocion,Sede 6,Surco,centro,Paquete grande,Regular,43.99,Miguel Quispe,Callao,CORPORATIVO,07-01-2025
37,2026-02-18,,1.87,76.22,20,Telefono,Yape,4,83.3,Promocion,Sede 3,Independencia,Sur,Express,,76.22,Diego Huaman,miraflores,Nuevo,2025-07-07
38,2026-05-19,8,2.05,89.36,5,Telefono,YaPe,4, 127.44 ,Cliente frecuente,Sede 7,Comas,este,Refrigerado,EsPeCiAl,89.36,Marco Paredes,  La Molina ,Premium,2025-10-13
39,2026-04-01,6,22.84,8.28,15,Presencial,Yape,5,96.0,Revisar,Sede 7,Comas,este,Documento,LIVIANO,8.28,Fiorella Huaman,Ventanilla,Premium,2025-05-05
40,2026-02-15,7,19.22,76.22,12,Web,Transferencia,3,"136,71",,Sede 7,Comas,este,Express,,76.22,Claudia Ramos,Lima,Corporativo,2025-05-04
41,2026-01-19,8,17.43,89.36,15,Presencial,Yape,5,142.09,Promocion,Sede 6,Surco,centro,Refrigerado,EsPeCiAl,89.36,Miguel Reyes,Surco,Premium,2025/01/09
42,2026-02-20,3,32.37,14.68,12,Web,Efectivo,5,97.93,Revisar,Sede 5,lima,Oeste,Paquete pequeno,Liviano,14.68,Fiorella Gomez,Lima,Corporativo,16-04-2025
43,2026-01-28,7,11.28,118.81,,  Telefono ,Yape,2,169.6 aprox,Revisar,  Sede 2 ,Chorrillos,Sur,Mudanza pequena,Volumen,118.81,Lucia Campos,  Independencia ,Frecuente,2025-05-03
44,2026-03-15,2,33.19,57.44,20,App,YaPe,4,S/ 109.25,OK,Sede 4,SaN MiGuEl,  Este ,Courier empresarial,Empresa,57.44,Luis Gomez,Ate,Corporativo,2025/09/13
45,27-03-2026,8,17.28,26.64,5,Presencial,Efectivo,3,99.07,OK,Sede 6,Surco,centro,Paquete mediano,Regular,26.64,Jorge Gomez,Villa El Salvador,Frecuente,2025-09-16
46,2026-06-01,1,"17,04",26.64,0,App,Yape,2,57.74,OK,Sede 5,lima,Oeste,Paquete mediano,Regular,26.64,Sofia Gomez,Ventanilla,FRECUENTE,2025-06-17
47,2026-01-12,7,10.97,118.81, 0 ,App,efectivo,5,"173,37",Cliente frecuente,Sede 3,Independencia,Sur,Mudanza pequena,Volumen,118.81,Victor Navarro,San Miguel,Premium,2025-07-05
48,2026-04-14,4,13.45,57.44,8,Web,  Transferencia ,1,81.99,,Sede 3,Independencia,Sur,Courier empresarial,Empresa,57.44,Maria Quispe,San Miguel,Corporativo,2025-10-22
49,2026-03-10,1,29.91,26.64,0,WhatsApp,Plin,1,78.23,Cliente frecuente,Sede 4,SaN MiGuEl,  Este ,Paquete mediano,Regular,26.64,Diego Soto,Miraflores,Corporativo, 2025-08-06 
50,2026-05-14,4,1.41,76.22,10,Presencial,Plin,3,96.59,Cliente frecuente,Sede 1,,  Este ,Express,,76.22,Victor Flores,Independencia,Corporativo,2025-05-05
51,2026-05-04,,33.8,43.99,0,App,Plin,4,121.92,,  Sede 2 ,Chorrillos,Sur,Paquete grande,Regular,43.99,Claudia Rojas,San Juan de Lurigancho,Corporativo,06/01/2025
52,2026-02-24,8,10.73,43.99,12,App,PLIN,5,"114,05",OK,  Sede 2 ,Chorrillos,Sur,Paquete grande,Regular,43.99,VALERIA QUISPE,Callao,Nuevo,2025-06-04
53,2026-06-24,3,21.15 aprox,26.64,15,,transferencia,5,66.57,,Sede 3,Independencia,Sur,Paquete mediano,Regular,26.64,Fiorella Paredes,La  Molina,Corporativo,2025-09-26
54,2026-01-06,1, 30.93 ,76.22,5,Web,Yape,4,142.16,Promocion,  Sede 2 ,Chorrillos,Sur,Express,,76.22,Claudia Soto,,Nuevo,2025-04-25
55,2026-01-22,5,28.38 aprox,76.22,8,Presencial,Efectivo,2,150.72,,Sede 5,lima,Oeste,Express,,76.22,Raul Reyes,,Corporativo,2025-11-16
56,2026-01-06,1, 30.93 ,76.22,5,Web,Yape,4,142.16,Promocion,  Sede 2 ,Chorrillos,Sur,Express,,76.22,Claudia Soto,,Nuevo,2025-04-25
57,2026-02-05,8,"32,73",89.36,12,Web,Efectivo,5,177.89,  Revisar ,Sede 7,Comas,este,Refrigerado,EsPeCiAl,89.36,Diego Gomez,Ventanilla,Corporativo,2025-06-05
58,2026-03-18,4,24.13,14.68,12,Telefono,Plin,4,77.69,OK,Sede 3,Independencia,Sur,Paquete pequeno,Liviano,14.68,Lucia Campos,  Independencia ,Frecuente,2025-05-03
59,2026-06-11,4,11.61,43.99,12,Presencial,Efectivo,4,103.1,Cliente frecuente,Sede 6,Surco,centro,Paquete grande,Regular,43.99,Marco Paredes,  La Molina ,Premium,2025-10-13
60,2026-01-12,,20.97,118.81,12,WhatsApp,Transferencia,4,169.73,Revisar,Sede 6,Surco,centro,Mudanza pequena,Volumen,118.81,Miguel Flores,San Juan de Lurigancho,Frecuente,2025-01-16
61,2026-02-28,6, 34.94 ,57.44,12,WhatsApp,Efectivo,3,128.21,Promocion,Sede 3,Independencia,Sur,Courier empresarial,Empresa,57.44,Elena Paredes,Los Olivos,Corporativo,2025-02-27
62,2026-02-03,3,16.74,57.44,0,  Presencial ,Yape,5,105.15,Cliente frecuente,Sede 1,,  Este ,Courier empresarial,Empresa,57.44,Victor Castillo,Comas,Premium,2025-09-06
63,09/01/2026,5,1.26,118.81,8,Telefono,Tarjeta,2,116.99,,Sede 4,SaN MiGuEl,  Este ,Mudanza pequena,Volumen,118.81,Carlos Flores,Chorrillos,Regular,2025-11-05
64,2026-03-24,6,8.15,57.44,10,Presencial,Plin,1,125.03,Promocion,Sede 7,Comas,este,Courier empresarial,Empresa,57.44,Luis Rojas,San  Juan  de  Lurigancho,nuevo,2025/10/18
65,2026-02-22,2,24.67,43.99,12,Telefono,Yape,5,88.24 aprox,,Sede 3,Independencia,Sur,Paquete grande,Regular,43.99,Victor Castillo,Comas,Premium,2025-09-06
66,2026-06-02,4,18.98,118.81,12,Web,Tarjeta,3,159.37,Cliente frecuente,  Sede 2 ,Chorrillos,Sur,Mudanza pequena,Volumen,118.81,Raul Salazar,Lima,Premium,2025-03-04
67,2026-04-26,1,30.47,26.64,0,APP,Plin,,66.97,,  Sede 2 ,Chorrillos,Sur,Paquete mediano,Regular,26.64,Valeria Paredes,LoS OlIvOs,Corporativo,2025-04-15
68,,1,13.2,89.36,12,Presencial,Plin,4,105.95,,  Sede 2 ,Chorrillos,Sur,Refrigerado,EsPeCiAl,89.36,,San Juan de Lurigancho,Frecuente,2025-04-19
69,2026-05-16,4,1.18,118.81,0,App,Tarjeta,1,119.11,ReViSaR,Sede 3,Independencia,Sur,Mudanza pequena,Volumen,118.81,Jorge Mendoza,Independencia,Frecuente,2025-12-13
70, 2026-04-05 ,8, 16.22 ,118.81,8,App,Transferencia,4,153.34,revisar,Sede 7,Comas,este,Mudanza pequena,Volumen,118.81,Raul Sayan,Ventanilla,Corporativo,2025-08-09
71,2026-04-17,1,"12,39",89.36,0,Presencial,Transferencia,1,86.81,,Sede 5,lima,Oeste,Refrigerado,EsPeCiAl,89.36,Victor Sayan,Chorrillos,,2025-09-16
72,2026-03-24,2,23.13,57.44,0,App,Yape,1,"113,94",OK,Sede 1,,  Este ,Courier empresarial,Empresa,57.44,Fiorella Soto,Lima,FrEcUeNtE,2025-11-19
73,2026-02-07,8,12.61,89.36,0,Web,Yape,3,129.33,Revisar,Sede 4,SaN MiGuEl,  Este ,Refrigerado,EsPeCiAl,89.36,Claudia Soto,,Nuevo,2025-04-25
74,2026-03-27,3,,51.69,10,App,Transferencia,1,96.33,Promocion,  Sede 2 ,Chorrillos,Sur,Fragil,  Especial ,51.69,Raul Salazar,Lima,Premium,2025-03-04
75,2026-04-23,1,27.9,118.81,12,Web,Tarjeta,1,150.52,Promocion,Sede 5,lima,Oeste,Mudanza pequena,Volumen,118.81,Luis Rojas,San  Juan  de  Lurigancho,nuevo,2025/10/18
76,2026-01-18,4,34.11,76.22,8,Presencial,Efectivo,5,137.8,Cliente frecuente,  Sede 2 ,Chorrillos,Sur,Express,,76.22,Jorge Gomez,Villa El Salvador,Frecuente,2025-09-16
77,19/02/2026,3, 14.44 ,14.68,,WeB,  Transferencia ,4,64.01,Cliente frecuente,Sede 4,SaN MiGuEl,  Este ,Paquete pequeno,Liviano,14.68,Raul Navarro,SURCO,PREMIUM,2025-05-27
78,2026-03-09,7, 17.43 ,S/ 8.28,20,Web,Yape,5,78.72,Cliente frecuente,  Sede 2 ,Chorrillos,Sur,Documento,LIVIANO,8.28,VALERIA QUISPE,Callao,Nuevo,2025-06-04
79,2026-06-11,4,11.61,43.99,12,Presencial,Efectivo,4,103.1,Cliente frecuente,Sede 6,Surco,centro,Paquete grande,Regular,43.99,Marco Paredes,  La Molina ,Premium,2025-10-13
80,2026/04/01,8,4.61,26.64,0,Telefono,Transferencia,3,67.91,Revisar,  Sede 2 ,Chorrillos,Sur,Paquete mediano,Regular,26.64,,Ate,Premium,2025-10-09
81,2026/04/08,5,26.91,118.81,,Telefono,Tarjeta,1,"182,45",,Sede 5,lima,Oeste,Mudanza pequena,Volumen,118.81,Miguel Vargas,Ventanilla,Corporativo,2025-06-06
82,2026-01-25,,2.15,26.64,0,Telefono,Yape,2,64.73,Cliente frecuente,Sede 5,lima,Oeste,Paquete mediano,Regular,26.64,Jorge Castillo,San Miguel,Premium,2025-08-27
83,2026-06-10,8,25.86,118.81,0,whatsapp,Transferencia,4,198.94,Revisar,Sede 4,SaN MiGuEl,  Este ,Mudanza pequena,Volumen,118.81,Andre Gomez,ATE,Premium,2025-12-21
84,2026-05-17,6,24.7,8.28,0,App,Yape,5,89.53,,Sede 7,Comas,este,Documento,LIVIANO,8.28,Carlos Huaman,Chorrillos,Premium,2025-10-20
85,2026-04-06, 5 ,34.15,89.36,8,  Telefono ,Tarjeta,5,152.03,,Sede 1,,  Este ,Refrigerado,EsPeCiAl,89.36,Pedro Navarro,Surco,  Premium ,
86,2026-06-09,3,1.9,51.69,15,PRESENCIAL,Yape,1,66.63,Cliente frecuente,  Sede 2 ,Chorrillos,Sur,Fragil,  Especial ,51.69,Diego Sayan,,Nuevo,2025-05-16
87, 2026-02-04 ,7,3.04, 8.28 ,5,Web,Tarjeta,5,67.26 aprox,,Sede 5,lima,Oeste,Documento,LIVIANO,8.28,Raul Navarro,SURCO,PREMIUM,2025-05-27
88,2026-02-15,6,"12,28",8.28,20 aprox,WhatsApp,Plin,2,61.51,Cliente frecuente,Sede 1,,  Este ,Documento,LIVIANO,8.28,Fiorella Gomez,Lima,Corporativo,16-04-2025
89,2026-06-22,3,6.63,43.99,5,WhatsApp,PlIn,4,74.68,Promocion,Sede 6,Surco,centro,Paquete grande,Regular,43.99,Marco Paredes,  La Molina ,Premium,2025-10-13
90,06-01-2026,6,10.74,43.99,8,Presencial,Efectivo,5,95.0,Cliente frecuente,Sede 1,,  Este ,Paquete grande,Regular,43.99,Victor Flores,Independencia,Corporativo,2025-05-05
91,2026-04-20,8,8.13,51.69,0,WeB,  Tarjeta ,5,"106,83",,Sede 6,Surco,centro,Fragil,  Especial ,51.69,Sofia Vargas,San Juan de Lurigancho,Nuevo,2025-02-06
92,2026-02-17,5,34.74,89.36,0,Telefono,Yape,,139.55,Cliente frecuente,Sede 6,Surco,centro,Refrigerado,EsPeCiAl,89.36,Victor Sayan,Chorrillos,,2025-09-16
93,2026-06-01,1,"17,04",26.64,0,App,Yape,2,57.74,OK,Sede 5,lima,Oeste,Paquete mediano,Regular,26.64,Sofia Gomez,Ventanilla,FRECUENTE,2025-06-17
94,2026-05-04,3,26.36,76.22,12,Web,Efectivo,5,131.72,,  Sede 2 ,Chorrillos,Sur,Express,,76.22,Claudia Soto,,Nuevo,2025-04-25
95,01-06-2026,7,24.34,118.81,20,Web,Plin,5,"182,42",,Sede 1,,  Este ,Mudanza pequena,Volumen,118.81,Elena Salazar,SURCO,Frecuente,2025-09-18
96,2026/01/17,2,11.72,118.81,12,Telefono,Transferencia,2,145.04,Revisar,Sede 7,Comas,este,Mudanza pequena,Volumen,118.81,Jose Huaman,  Ventanilla ,Regular,2025-03-18
97,2026-06-14,8,18.9,57.44,12,  Presencial ,Plin,1,129.63,Revisar,Sede 6,Surco,centro,Courier empresarial,Empresa,57.44,Elena Reyes,San Juan de Lurigancho,Corporativo,2025-11-19
98,2026-03-28,5,9.93,14.68,5,WhatsApp,Transferencia,2,42.87,Revisar,Sede 6,Surco,centro,Paquete pequeno,Liviano,14.68,Diego Sayan,,Nuevo,2025-05-16
99, 2026-04-12 ,3,3.75,8.28,0,WeB,Tarjeta,5,S/ 35.92,Revisar,Sede 6,Surco,centro,Documento,LIVIANO,8.28,Maria Huaman,  Chorrillos ,Frecuente,2025-12-18
100,2026-02-03,8,17.9,,8,Web,Transferencia,4,119.79,,Sede 1,,  Este ,Fragil,  Especial ,51.69,Pedro Navarro,Surco,  Premium ,
101,2026-06-22,4,30.01,76.22,0,Web,Efectivo,2,121.75,,Sede 3,Independencia,Sur,Express,,76.22,Sofia Gomez,Ventanilla,FRECUENTE,2025-06-17
102,2026-03-19,4,30.68,89.36,0,APP,Yape,5,157.46,,Sede 3,Independencia,Sur,Refrigerado,EsPeCiAl,89.36,Miguel Mendoza,Comas,Corporativo,2025-06-02
103,2026-02-20,8,14.28,S/ 26.64,0,Web,Plin,5,107.73,OK,Sede 3,Independencia,Sur,Paquete mediano,Regular,26.64,Diana Castillo,,Regular,12/05/2025
104,2026-04-08,5,"3,91",8.28,0,WhatsApp,Tarjeta,4,61.11,Promocion,Sede 3,Independencia,Sur,Documento,LIVIANO,8.28,Miguel Navarro,La Molina,Regular,2025-06-17
105,2026-02-04,8,9.97,43.99,10,Presencial,Tarjeta,3,103.82,,Sede 4,SaN MiGuEl,  Este ,Paquete grande,Regular,43.99,Diego Sayan,,Nuevo,2025-05-16
106,2026-06-10,5,21.98,76.22,15,App,Yape,5,126.94,,Sede 4,SaN MiGuEl,  Este ,Express,,76.22,ELENA CRUZ,Ventanilla,Corporativo,2025-10-03
107,06/05/2026,3,18.35,51.69,10,WhatsApp,Efectivo,1,78.19,,Sede 7,Comas,este,Fragil,  Especial ,51.69,Fiorella Soto,Lima,FrEcUeNtE,2025-11-19
108, 2026-05-17 ,7,12.8,118.81,0,Presencial,Yape,1,175.88 aprox,Revisar,Sede 7,Comas,este,Mudanza pequena,Volumen,118.81,Valeria Reyes,Chorrillos,Frecuente,2025-10-05
109,2026-01-24,2,9.28,118.81,5,Presencial,TRANSFERENCIA,5,119.89,Cliente frecuente,Sede 6,Surco,centro,Mudanza pequena,Volumen,118.81,Carlos Huaman,Chorrillos,Premium,2025-10-20
110,2026-05-07,5,23.29,51.69,5,Presencial,Yape,2,126.73,Promocion,Sede 4,SaN MiGuEl,  Este ,Fragil,  Especial ,51.69,Raul Sayan,Ventanilla,Corporativo,2025-08-09
111,2026-04-21,,17.09 aprox,51.69,12,Presencial,Yape,3,112.34,,Sede 4,SaN MiGuEl,  Este ,Fragil,  Especial ,51.69,Ana Campos,Villa El Salvador,Premium,2025-11-12
112,2026-01-16, 3 ,0.95,S/ 118.81,20,App,Tarjeta,1,109.73,Cliente frecuente,Sede 1,,  Este ,Mudanza pequena,Volumen,118.81,Fiorella Soto,Lima,FrEcUeNtE,2025-11-19
113,,6,13.81,43.99,5,Telefono,Transferencia,5,90.28,Promocion,Sede 1,,  Este ,Paquete grande,Regular,43.99,Sofia Gomez,Ventanilla,FRECUENTE,2025-06-17
114,2026-02-01,8,6.4,51.69,5,App,Efectivo,3,89.94,,Sede 1,,  Este ,Fragil,  Especial ,51.69,Fiorella Soto,Lima,FrEcUeNtE,2025-11-19
115,2026-04-21, 6 ,14.61,76.22,5,App,Plin,1,103.29,OK,Sede 6,Surco,centro,Express,,76.22,Andre Gomez,ATE,Premium,2025-12-21
116,2026-01-25,4,27.39,43.99,8,App,Plin,1,103.5,revisar,Sede 5,lima,Oeste,Paquete grande,Regular,43.99,Carlos Huaman,Chorrillos,Premium,2025-10-20
117,2026-03-06,2, 3.22 ,S/ 57.44,0,Telefono,Efectivo,3,78.95,,  Sede 2 ,Chorrillos,Sur,Courier empresarial,Empresa,57.44,Miguel Flores,La Molina,CoRpOrAtIvO,2025-10-23
118,2026-01-16,3,6.38,51.69,15,App,Tarjeta,,61.99,,Sede 5,lima,Oeste,Fragil,  Especial ,51.69,Miguel Reyes,Surco,Premium,2025/01/09
119,2026-03-12,2,6.67,8.28, 5 ,Telefono,TrAnSfErEnCiA,5,51.09,Revisar,Sede 4,SaN MiGuEl,  Este ,Documento,LIVIANO,8.28,Pedro Navarro,Surco,  Premium ,
120,2026-06-09,5,,43.99,20,Telefono,,5,114.26,Promocion,  Sede 2 ,Chorrillos,Sur,Paquete grande,Regular,43.99,Diego Soto,Miraflores,Corporativo, 2025-08-06 
121,2026-05-28,5,11.7,8.28,15,Telefono,yape,3,36.7,promocion,Sede 3,Independencia,Sur,Documento,LIVIANO,8.28,Andre Mendoza,Ate,Frecuente,2025/10/26
122, 2026-02-22 ,7,2.79,8.28,0,App,Plin,3,"55,15",Revisar,Sede 3,Independencia,Sur,Documento,LIVIANO,8.28,Andre Gomez,ATE,Premium,2025-12-21
123,2026-02-03,6,25.28, 26.64 , 0 ,App,Yape,1,106.59 aprox,Revisar,Sede 7,Comas,este,Paquete mediano,Regular,26.64,Elena Salazar,SURCO,Frecuente,2025-09-18
124,2026-06-09,5,19.09,89.36,12,WhatsApp,Efectivo,5,143.11,Cliente  frecuente,Sede 1,,  Este ,Refrigerado,EsPeCiAl,89.36,,San Juan de Lurigancho,Frecuente,2025-04-19
125,2026-02-18,6,20.84,43.99,12,Presencial,tarjeta,1,100.65,Promocion,Sede 1,,  Este ,Paquete grande,Regular,43.99,VALERIA QUISPE,Callao,Nuevo,2025-06-04
126,18-02-2026,1,32.58,118.81,8,Presencial,,4,151.62,Cliente frecuente,Sede 3,Independencia,Sur,Mudanza pequena,Volumen,118.81,Lucia Campos,  Independencia ,Frecuente,2025-05-03
127,2026-06-12,1,32.03,26.64,0,WhatsApp,Transferencia,3,79.0,,Sede 5,lima,Oeste,Paquete mediano,Regular,26.64,Valeria Paredes,LoS OlIvOs,Corporativo,2025-04-15
128,28/04/2026,1,,118.81,10,Presencial,Yape,5,109.71,Cliente frecuente,Sede 6,Surco,centro,Mudanza pequena,Volumen,118.81,Sofia Vargas,San Juan de Lurigancho,Nuevo,2025-02-06
129,2026-01-05,8,12.86, 8.28 ,0,APP,Plin,1,79.45,Revisar,  Sede 2 ,Chorrillos,Sur,Documento,LIVIANO,8.28,Diego Gomez,Ventanilla,Corporativo,2025-06-05
130,2026-03-02,3,16.2,76.22,0,Telefono,  Efectivo ,5,108.86,ReViSaR,Sede 5,lima,Oeste,Express,,76.22,Andre Gomez,ATE,Premium,2025-12-21
131,2026-06-15,3,"8,76",118.81,8,Presencial,Transferencia,1,132.0,,  Sede 2 ,Chorrillos,Sur,Mudanza pequena,Volumen,118.81,Pedro Salazar,Ventanilla,Nuevo,2025-02-01
132,,1,34.29,76.22,8,  Presencial ,Tarjeta,5,124.31,promocion,Sede 4,SaN MiGuEl,  Este ,Express,,76.22,Marco Reyes,MIRAFLORES,Regular,2025-02-28
133,2026-02-09,8,11.65,14.68,0,WhatsApp,Efectivo,1,69.24,OK,Sede 1,,  Este ,Paquete pequeno,Liviano,14.68,Luis Rojas,San  Juan  de  Lurigancho,nuevo,2025/10/18
134,2026-01-08,2,18.89,51.69,0,Presencial,Yape,3,105.91,Revisar,Sede 6,Surco,centro,Fragil,  Especial ,51.69,Diana Castillo,,Regular,12/05/2025
135,2026-02-19,2,29.19,14.68,0,App,,3,87.95 aprox,,  Sede 2 ,Chorrillos,Sur,Paquete pequeno,Liviano,14.68,Fiorella Gomez,Chorrillos,Regular,2025-08-09
136,2026-05-13,4,31.35,8.28,0,PRESENCIAL,Plin,5,75.68,Promocion,Sede 5,lima,Oeste,Documento,LIVIANO,8.28,Ana Rojas,Chorrillos,Nuevo,2025-04-09
