id_reserva,fecha_operacion,cantidad_habitaciones,noches_estadia,tarifa_noche,descuento_pct,canal,metodo_pago,calificacion,monto_reserva,observacion,hoteles_nombre,hoteles_distrito,hoteles_zona,habitaciones_nombre,habitaciones_categoria,habitaciones_tarifa_noche,huespedes_nombre,huespedes_distrito,huespedes_segmento,huespedes_fecha_registro
14,2026-06-23,8,8,290.5,15,App,Yape, 2 ,442.85,Revisar,Hotel 5,Lima,Norte,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Fiorella Flores,San Juan de Lurigancho,Premium,2025-01-21
15,2026-05-08,5,2,159.18,20,Telefono,Efectivo,3, 213.61 ,Revisar,Hotel 5,Lima,Norte,Doble,estandar,159.18,Fiorella Ramos,Independencia,Premium,2025-05-21
16,2026-06-03,1,8,290.5,0,Presencial,Tarjeta,2,403.15,Promocion,Hotel 2,SAN MIGUEL,  Oeste ,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Miguel Campos,Villa  El  Salvador,Nuevo,2025-08-26
17,2026-04-22,5,9,88.18,0 aprox,  App ,Tarjeta,4, 181.19 ,OK,Hotel 2,SAN MIGUEL,  Oeste ,Simple,Estandar,88.18,Jorge Salazar,Los Olivos,Nuevo,2025-06-21
18,2026-03-25,6,8,158.16,0,WhatsApp,Plin,3,213.19,,Hotel 1,LOS OLIVOS,Centro,Matrimonial,estandar,158.16,Miguel Soto,Villa El Salvador,Nuevo,2025-05-28
19,2026-01-10,1,8,S/ 369.86,8,WhatsApp,Efectivo,5,468.64,Revisar,Hotel 3,Comas,Este,Habitacion vista mar,,369.86,Fiorella Ramos,Independencia,Premium,2025-05-21
20,2026-04-22,5,3,425.95,8,App,Tarjeta,2,488.18,Promocion,Hotel 3,Comas,Este,Suite  ejecutiva,suite,425.95,Sofia Ramos,Surco,Corporativo,2025-02-03
21,2026-02-04,8,4,"158,16",0,Telefono,Efectivo,1,318.5,Revisar,Hotel 6,Callao,Este,Matrimonial,estandar,158.16,Victor Quispe,Ate,Regular,2025-11-07
22,2026-03-09,3,8,159.18,0,Telefono,Tarjeta,2,234.65,OK,Hotel 6,Callao,Este,Doble,estandar,159.18,Elena Reyes,Ate,Regular,2025-07-10
23,2026/06/09,7,1,158.16,20,Telefono,Efectivo,3,307.49,Revisar,Hotel 2,SAN MIGUEL,  Oeste ,Matrimonial,estandar,158.16,Camila Torres,callao,Frecuente,2025-12-06
24,2026-05-25,5,1,158.16,,Telefono,PlIn,5,195.43,Promocion,Hotel 2,SAN MIGUEL,  Oeste ,Matrimonial,estandar,158.16,Raul Quispe,Surco,Nuevo,2025-03-11
25,2026-05-24,7,1,324.45,20 aprox,Presencial,Efectivo,4,404.88,Revisar,Hotel 1,LOS OLIVOS,Centro,Suite junior,Suite,324.45,Claudia Rojas,Callao,Corporativo,2025-12-01
26,14-05-2026,2,2,351.23,20,presencial,Yape,1,400.38,Revisar,Hotel 7,  Miraflores ,  Oeste ,Bungalow,Especial,351.23,Miguel Huaman,Villa El Salvador,premium,2025-05-16
27,2026-05-17,8 aprox,2,369.86,0,Presencial,Tarjeta,3,500.85,Cliente  frecuente,Hotel 1,LOS OLIVOS,Centro,Habitacion vista mar,,369.86,Pedro Quispe,Ate,Regular,2025-06-04
28,2026-05-11,8,5,324.45,10,App,Efectivo,5,492.46,Promocion,Hotel 2,SAN MIGUEL,  Oeste ,Suite junior,Suite,324.45,Andre  Mendoza,Callao,Regular,2025-06-02
29,2026-01-11,3,2,262.79,0,App,Tarjeta,1,368.25,,Hotel 3,Comas,Este,FAMILIAR,  Familiar ,262.79,Claudia Quispe,Independencia,Regular,2025-11-16
30,19/01/2026,2,1,425.95,0,Web,Efectivo,5,494.42,OK,Hotel 1,LOS OLIVOS,Centro,Suite  ejecutiva,suite,425.95,Ana Mendoza,Independencia,,2025-06-19
31,2026-06-05,2,, 290.5 ,8,Presencial,Efectivo,1,428.06,Cliente frecuente,Hotel 6,Callao,Este,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,ElEnA ReYeS,Ate,Regular,2025-11-26
32,2026-03-22,2,10,262.79,10,,Plin,1,1363.04,,Hotel 3,Comas,Este,FAMILIAR,  Familiar ,262.79,Camila Salazar,San Juan de Lurigancho,corporativo,2025-02-05
33,2026-06-15,6,9,159.18,0 aprox,App,Transferencia,2,320.9,Revisar,Hotel 6,Callao,Este,Doble,estandar,159.18,Camila Navarro,CoMaS,Regular,2025/08/25
34,2026/01/02,5,8,262.79,0,Presencial,Yape,3,,,Hotel 4,Independencia,Norte,FAMILIAR,  Familiar ,262.79,Valeria Paredes,VeNtAnIlLa,Corporativo,2025-10-10
35,2026-04-24,5,7,"369,86",5,Presencial,Transferencia,5,458.84,,Hotel 4,Independencia,Norte,Habitacion vista mar,,369.86,Marco Salazar,Surco,Nuevo,02-01-2025
36,2026/06/11,7,7,369.86 aprox,0,Presencial,efectivo,2, 452.47 ,Revisar,Hotel 2,SAN MIGUEL,  Oeste ,Habitacion vista mar,,369.86,ElEnA ReYeS,Ate,Regular,2025-11-26
37,2026-05-27, 3 ,7,351.23,12,Telefono,Efectivo,2,435.37,Cliente frecuente,Hotel 4,Independencia,Norte,Bungalow,Especial,351.23,Pedro  Flores,san juan de lurigancho,Frecuente,2025-12-08
38,2026-06-05,2,2,290.5,0,WhatsApp,Efectivo,4,330.61,  Cliente frecuente ,Hotel 3,Comas,Este,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Diego Salazar,San  Juan  de  Lurigancho,Frecuente,2025-09-20
39,2026-06-16,5 aprox,6,290.5,0,WhatsApp,Efectivo,2 aprox,400.93,OK,Hotel 7,  Miraflores ,  Oeste ,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Pedro Quispe,Ate,Regular,2025-06-04
40,2026-04-03, 3 ,7, 351.23 ,12,WhatsApp,Yape,2,394.7,,Hotel 4,Independencia,Norte,Bungalow,Especial,351.23,Pedro Quispe,Ate,Regular,2025-06-04
41,2026-03-06,6,10,324.45,20,WhatsApp,Efectivo,3,425.96,OK,Hotel 6,Callao,Este,Suite junior,Suite,324.45,Andre Mendoza,La Molina,Frecuente,2025-09-13
42,2026-05-24,1,1 aprox,159.18,15,App,Plin,2,180.44,Cliente frecuente,Hotel 5,Lima,Norte,Doble,estandar,159.18,Ana Paredes,Miraflores,Regular,2025-04-09
43,2026-02-27,1 aprox,7, 158.16 ,0,Telefono,Tarjeta,1,264.68,Promocion,Hotel 1,LOS OLIVOS,Centro,Matrimonial,estandar,158.16,Camila Salazar,Ventanilla,Regular,2025-12-10
44,14-03-2026,3,1,290.5,0,App,Yape,1,343.52,,Hotel 5,Lima,Norte,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Raul Campos,Surco,Regular,06/10/2025
45,2026-02-08,8,9,290.5 aprox, 10 ,Presencial,Efectivo,1,492.36,,Hotel 5,Lima,Norte,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Rocio Campos,  Ventanilla ,Frecuente,2025-09-28
46,2026-04-12,5, 5 ,351.23,0,WhatsApp,Tarjeta,2,410.22,Promocion,Hotel 5,Lima,Norte,Bungalow,Especial,351.23,Diana Cruz,La Molina,Corporativo,2025-06-02
47,2026-05-27,1,5,159.18,8,  Presencial ,Tarjeta,3,275.22,Cliente frecuente,Hotel 7,  Miraflores ,  Oeste ,Doble,estandar,159.18,Jorge Salazar,Los Olivos,Nuevo,2025-06-21
48,2026-05-04,3,10,351.23,5 aprox,Web,Transferencia,3,425.25,OK,Hotel 7,  Miraflores ,  Oeste ,Bungalow,Especial,351.23,Sofia Huaman,Chorrillos,Corporativo,2025-03-04
49,2026-06-25,1 aprox,5,262.79,0 aprox,App,Efectivo,5,"284,67",Revisar,Hotel 4,Independencia,Norte,FAMILIAR,  Familiar ,262.79,Camila Sayan,Independencia,Nuevo,10-05-2025
50,2026-03-18,1,6,,10,Presencial,Efectivo,4,449.48,Revisar,Hotel 7,  Miraflores ,  Oeste ,Suite  ejecutiva,suite,425.95,,San Miguel,Regular,2025-02-18
51,2026-05-06,4,7,369.86,10,Presencial,Transferencia,5,417.72,Revisar,Hotel 7,  Miraflores ,  Oeste ,Habitacion vista mar,,369.86,Elena Campos,Ventanilla,Premium,2025-12-21
52,2026-05-11,6,3, 159.18 ,8,WhatsApp,Efectivo,5 aprox,311.35,Cliente frecuente,Hotel 5,Lima,Norte,Doble,estandar,159.18,Sofia Torres,MIRAFLORES,Nuevo,2025-01-15
53,2026-04-12,5, 5 ,351.23,0,WhatsApp,Tarjeta,2,410.22,Promocion,Hotel 5,Lima,Norte,Bungalow,Especial,351.23,Diana Cruz,La Molina,Corporativo,2025-06-02
54,2026-06-14,1,5,262.79,0,TeLeFoNo,Plin,5,"239,76",Promocion,Hotel 4,Independencia,Norte,FAMILIAR,  Familiar ,262.79,Ana Salazar,Lima,nuevo, 2025-12-01 
55,2026-03-13,5,1,262.79,0,App,Efectivo,3,351.28,Promocion,Hotel 7,  Miraflores ,  Oeste ,FAMILIAR,  Familiar ,262.79,Camila Salazar,San Juan de Lurigancho,corporativo,2025-02-05
56,2026-04-07,6,5,425.95,0,Presencial,Transferencia,2,605.92,  Revisar ,Hotel 5,Lima,Norte,Suite  ejecutiva,suite,425.95,Ana Ramos,SaN MiGuEl,Premium,2025-03-02
57,2026-04-22,2,9,425.95,0,WhatsApp,Yape,2,459.99,,Hotel 3,Comas,Este,Suite  ejecutiva,suite,425.95,Raul Quispe,Surco,Nuevo,2025-03-11
58,2026-06-19,7,39.54,159.18,0,App,Yape,1,"443,76",Cliente frecuente,Hotel 6,Callao,Este,Doble,estandar,159.18,Pedro Mendoza,Miraflores,Regular,2025-04-28
59,2026-02-07,1,10,159.18,0,Telefono,plin,4,277.96,Revisar,Hotel 7,  Miraflores ,  Oeste ,Doble,estandar,159.18,Raul Quispe,Surco,Nuevo,2025-03-11
60,2026-01-19,5,,324.45,5,App,Efectivo,5,415.1,Cliente frecuente,Hotel 4,Independencia,Norte,Suite junior,Suite,324.45,Jose Flores,La Molina,Regular, 2025-08-15 
61,2026-06-20,5,1,159.18 aprox,0,WhatsApp,Plin,,977.08,Cliente frecuente,Hotel 4,Independencia,Norte,Doble,estandar,159.18,Diego Salazar,San  Juan  de  Lurigancho,Frecuente,2025-09-20
62,2026-01-03,5,4,,5,Web,TARJETA,2,217.93,Revisar,Hotel 2,SAN MIGUEL,  Oeste ,Doble,estandar,159.18,Fiorella Campos,Los Olivos,,2025-02-01
63,17-05-2026,3,10,"425,95",15,Presencial,Yape, 3 ,546.66,Promocion,Hotel 3,Comas,Este,Suite  ejecutiva,suite,425.95,Jorge Salazar,Los Olivos,Nuevo,2025-06-21
64,05-03-2026,8,4,88.18 aprox,0,Presencial,Tarjeta,5,216.87,Revisar,Hotel 3,Comas,Este,Simple,Estandar,88.18,Andre Cruz,SURCO,Nuevo,2025-04-02
65,14-05-2026,2,2,351.23,20,presencial,Yape,1,400.38,Revisar,Hotel 7,  Miraflores ,  Oeste ,Bungalow,Especial,351.23,Miguel Huaman,Villa El Salvador,premium,2025-05-16
66,,6,3,369.86,20,  App ,Yape,1,470.39,Promocion,Hotel 2,SAN MIGUEL,  Oeste ,Habitacion vista mar,,369.86,Pedro  Flores,san juan de lurigancho,Frecuente,2025-12-08
67,2026-02-08,8,9,290.5 aprox, 10 ,Presencial,Efectivo,1,492.36,,Hotel 5,Lima,Norte,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Rocio Campos,  Ventanilla ,Frecuente,2025-09-28
68,2026-01-19,2,2,351.23,5,Web,Yape,4,420.84,Revisar,Hotel 4,Independencia,Norte,Bungalow,Especial,351.23,Valeria Paredes,VeNtAnIlLa,Corporativo,2025-10-10
69,2026-06-27,7,7,425.95,15,app,Transferencia,3,601.7,Cliente frecuente,Hotel 5,Lima,Norte,Suite  ejecutiva,suite,425.95,Rocio Campos,  Ventanilla ,Frecuente,2025-09-28
70,02-03-2026,4,8,159.18,8,WhatsApp,Yape,1,285.87,OK,Hotel 4,Independencia,Norte,Doble,estandar,159.18,Diego Salazar,San  Juan  de  Lurigancho,Frecuente,2025-09-20
71,2026-05-24,2, 8 ,290.5,10,Web,EFECTIVO,1,369.59,,Hotel 7,  Miraflores ,  Oeste ,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Diana Cruz,La Molina,Corporativo,2025-06-02
72,2026-03-16,3,4,369.86,0,WhatsApp,Transferencia,2,419.69,Revisar,Hotel 7,  Miraflores ,  Oeste ,Habitacion vista mar,,369.86,Diego Flores,La mOlInA,  Frecuente ,2025-07-06
73,2026-06-10,8,2,158.16,15,Telefono,Transferencia, 2 ,349.61,Promocion,Hotel 2,SAN MIGUEL,  Oeste ,Matrimonial,estandar,158.16,Diego Cruz,Miraflores,CORPORATIVO,2025-04-14
74,2026-01-09,8,30.77,324.45,0,Presencial,Yape,4,590.06,,Hotel 1,LOS OLIVOS,Centro,Suite junior,Suite,324.45,Raul Ramos,Los Olivos,Regular,2025-04-23
75,2026-06-04,8,5,S/ 369.86,0,App,Efectivo,3,562.56,OK,Hotel 3,Comas,Este,Habitacion vista mar,,369.86,Marco Soto,Callao,Corporativo,2025-04-02
76,2026-05-26,8,1,324.45,0,TELEFONO,Yape,4,1581.05,Revisar,Hotel 4,Independencia,Norte,Suite junior,Suite,324.45,Fiorella Ramos,Independencia,Premium,2025-05-21
77,2026-01-15,1,10,262.79,0,Telefono,Tarjeta,1,330.9,  Revisar ,Hotel 4,Independencia,Norte,FAMILIAR,  Familiar ,262.79,Andre Soto,CALLAO,  Nuevo ,2025-02-16
78, 2026-05-10 ,6,9,158.16,0,Telefono,Efectivo,3,329.04,Revisar,Hotel 2,SAN MIGUEL,  Oeste ,Matrimonial,estandar,158.16,Raul Campos,Surco,Regular,06/10/2025
79,2026-06-10,2 aprox,7,88.18,12,App,Transferencia,5,198.78,,Hotel 2,SAN MIGUEL,  Oeste ,Simple,Estandar,88.18,Andre Quispe,  Miraflores ,corporativo,2025-01-27
80,2026-06-28,6,4,159.18,15,WhatsApp,Yape,3,330.44,OK,Hotel 2,SAN MIGUEL,  Oeste ,Doble,estandar,159.18,Camila Salazar,San Juan de Lurigancho,corporativo,2025-02-05
81,2026-04-08,8,4,S/ 262.79,12,app,Efectivo,5,"417,9",Cliente frecuente,Hotel 5,Lima,Norte,FAMILIAR,  Familiar ,262.79,Pedro Mendoza,Miraflores,Regular,2025-04-28
82,2026-03-28,4,2,88.18,0,Telefono,Tarjeta,3,151.33,Cliente frecuente,Hotel 5,Lima,Norte,Simple,Estandar,88.18,Andre Rojas,CHORRILLOS,Corporativo,2025-08-26
83,2026-01-03,1,5,262.79,0 aprox,TeLeFoNo,Efectivo,3,371.03,,Hotel 6,Callao,Este,FAMILIAR,  Familiar ,262.79,Diego Flores,La mOlInA,  Frecuente ,2025-07-06
84,2026-05-13,2,9,262.79,15,  Telefono ,Plin,1,370.01,REVISAR,Hotel 3,Comas,Este,FAMILIAR,  Familiar ,262.79,Claudia Sayan,  Villa El Salvador ,Corporativo,2025-06-07
85,2026-06-23,5,3,324.45,20,WhatsApp,PLIN,1,398.01,Revisar,Hotel 7,  Miraflores ,  Oeste ,Suite junior,Suite,324.45,Andre Cruz,SURCO,Nuevo,2025-04-02
86,2026-02-20,2,10,88.18, 0 ,Telefono,Efectivo,4,131.3,,Hotel 1,LOS OLIVOS,Centro,Simple,Estandar,88.18,Fiorella Gomez,Chorrillos,Premium, 2025-07-22 
87,2026-01-12,7,4,425.95,20,Telefono,Efectivo,5,556.87,OK,Hotel 7,  Miraflores ,  Oeste ,Suite  ejecutiva,suite,425.95,Rocio Rojas,Independencia,Premium,2025-07-23
88,2026-03-16,4,9,369.86,0,Presencial,Tarjeta,2,423.17,Cliente frecuente,Hotel 4,Independencia,Norte,Habitacion vista mar,,369.86,Andre Soto,CALLAO,  Nuevo ,2025-02-16
89,2026-01-25,1,5,290.5,12,Web,Plin,3,354.58,OK,Hotel 1,LOS OLIVOS,Centro,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Elena Campos,Ventanilla,Premium,2025-12-21
90,2026-03-28,5,9,324.45,10,Telefono,Plin,3,436.77,,Hotel 3,Comas,Este,Suite junior,Suite,324.45,Fiorella Reyes,independencia,Premium,2025-01-25
91,2026-06-08,5,10,290.5, 15 ,Telefono,Tarjeta,4,362.96,Cliente frecuente,Hotel 1,LOS OLIVOS,Centro,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Pedro Mendoza,Miraflores,Regular,2025-04-28
92,2026-06-04,5,5,"351,23",0,WhatsApp,Plin,4,444.11,,Hotel 3,Comas,Este,Bungalow,Especial,351.23,Victor Mendoza,Independencia,Premium,2025-05-06
93,2026-03-25,3,10,324.45,0,WhatsApp,,1,433.39,Cliente frecuente,Hotel 7,  Miraflores ,  Oeste ,Suite junior,Suite,324.45,Diego Flores,La mOlInA,  Frecuente ,2025-07-06
94,2026-01-14,7,7,159.18,20,Presencial,Plin,5,S/ 298.26,Cliente frecuente,Hotel 1,LOS OLIVOS,Centro,Doble,estandar,159.18,Rocio Campos,  Ventanilla ,Frecuente,2025-09-28
95,06/06/2026,2,,369.86,0,Telefono,Transferencia,1,412.86,Promocion,Hotel 3,Comas,Este,Habitacion vista mar,,369.86,Claudia Rojas,Callao,Corporativo,2025-12-01
96,2026-03-09,7,8,369.86,8 aprox,whatsapp,Yape,2,514.19,OK,Hotel 5,Lima,Norte,Habitacion vista mar,,369.86,Andre Soto,CALLAO,  Nuevo ,2025-02-16
97,2026-02-25,3,5,88.18,10,Presencial,  Plin ,1,173.41,Promocion,Hotel 3,Comas,Este,Simple,Estandar,88.18,Diana Campos,Ventanilla,Regular,2025-11-08
98,2026-04-15,3,6,425.95,10,App,Yape,3,505.35,OK,Hotel 4,Independencia,Norte,Suite  ejecutiva,suite,425.95,Pedro Mendoza,Miraflores,Regular,2025-04-28
99,2026-04-23,2,6,158.16,0,Telefono,Efectivo,1,240.0,Revisar,Hotel 1,LOS OLIVOS,Centro,Matrimonial,estandar,158.16,Claudia Flores,San Miguel,Premium,2025-11-12
100,2026-04-26,2,10,290.5,15,App,Efectivo,1,S/ 317.02,Cliente frecuente,Hotel 2,SAN MIGUEL,  Oeste ,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Diana Cruz,La Molina,Corporativo,2025-06-02
101,2026-01-13,3,10,351.23,10,WhatsApp,Efectivo,1,471.38,Revisar,Hotel 4,Independencia,Norte,Bungalow,Especial,351.23,Jorge Navarro,Comas,Nuevo,2025-09-23
102,2026-03-19,7,6,88.18,15,Web,Transferencia,2,223.58,Revisar,Hotel 1,LOS OLIVOS,Centro,Simple,Estandar,88.18,Ana Paredes,Miraflores,Regular,2025-04-09
103,2026-01-01,5,9,425.95,0,App,PlIn,3, 604.28 ,Cliente frecuente,Hotel 3,Comas,Este,Suite  ejecutiva,suite,425.95,Pedro Navarro,Lima,Nuevo,2025-11-14
104,02-04-2026,3,8,369.86,15,Web,  Yape ,5,438.62,Cliente frecuente,Hotel 1,LOS OLIVOS,Centro,Habitacion vista mar,,369.86,Sofia Ramos,Surco,Corporativo,2025-02-03
105,2026-05-24,5,6,262.79,15,Web,Transferencia,4,376.79,,Hotel 3,Comas,Este,FAMILIAR,  Familiar ,262.79,Victor Castillo,  Ventanilla ,Nuevo,2025-08-24
106,2026-05-17,1,5 aprox, 158.16 ,12,App,Tarjeta,5,264.32,OK,Hotel 2,SAN MIGUEL,  Oeste ,Matrimonial,estandar,158.16,Raul Quispe,Surco,Nuevo,2025-03-11
107,2026-05-09,6,7,369.86,5,presencial,TaRjEtA,3,451.8,OK,Hotel 1,LOS OLIVOS,Centro,Habitacion vista mar,,369.86,Elena Campos,Ventanilla,Premium,2025-12-21
108,2026-03-02,6,5,324.45,12,Web,Yape,5,"445,17",,Hotel 6,Callao,Este,Suite junior,Suite,324.45,Jorge Navarro,Independencia,Corporativo,2025-07-06
109,2026-01-21,8,9,290.5 aprox,20,Telefono,Efectivo,5,408.1,,Hotel 4,Independencia,Norte,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Ana Ramos,SaN MiGuEl,Premium,2025-03-02
110,2026-02-26,8 aprox,10 aprox,425.95,10,Presencial,Plin,1,576.54,Revisar,Hotel 2,SAN MIGUEL,  Oeste ,Suite  ejecutiva,suite,425.95,Sofia Torres,MIRAFLORES,Nuevo,2025-01-15
111,2026-05-01,8,5,262.79,0,Telefono,  Yape , 3 ,420.92,Cliente frecuente,Hotel 6,Callao,Este,FAMILIAR,  Familiar ,262.79,Jorge Quispe,Chorrillos,Regular,2025-12-25
112,2026-05-13,5,8,,20,Telefono,Efectivo,1,415.75 aprox,Cliente frecuente,Hotel 2,SAN MIGUEL,  Oeste ,Suite junior,Suite,324.45,Camila Soto,San Juan de Lurigancho,Regular,2025-04-07
113,2026-01-28,7,10,262.79,0,Presencial,EfEcTiVo,3,434.47,Cliente frecuente,Hotel 4,Independencia,Norte,FAMILIAR,  Familiar ,262.79,Valeria Huaman,miraflores,NuEvO,2025-01-22
114,2026-06-25,2,7,88.18,0,Web,Yape,4,142.64,Cliente frecuente,Hotel 1,LOS OLIVOS,Centro,Simple,Estandar,88.18,Andre Quispe,  Miraflores ,corporativo,2025-01-27
115,2026-02-15,3,6,88.18,20,Web,TrAnSfErEnCiA,4,150.75,,Hotel 2,SAN MIGUEL,  Oeste ,Simple,Estandar,88.18,claudia navarro,Villa El Salvador,Frecuente,2025-03-01
116,2026-04-07,4,12.45,88.18,0,Presencial,Efectivo,2,225.87,OK,Hotel 6,Callao,Este,Simple,Estandar,88.18,Andre Rojas,CHORRILLOS,Corporativo,2025-08-26
117,14-03-2026, 5 ,8,159.18,12,Telefono,Transferencia,1,249.35,Promocion,Hotel 2,SAN MIGUEL,  Oeste ,Doble,estandar,159.18,Elena Flores,Miraflores,Corporativo,2025-11-09
118,2026-04-04,8,5,290.5,15,Web,Efectivo,1,453.17,Promocion,Hotel 1,LOS OLIVOS,Centro,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Jorge Navarro,Independencia,Corporativo,2025-07-06
119,2026-01-03,6,23.71,425.95,10,App,Efectivo,3,634.55,Revisar,Hotel 4,Independencia,Norte,Suite  ejecutiva,suite,425.95,Victor Castillo,  Ventanilla ,Nuevo,2025-08-24
120,,1,5,290.5,0,Telefono,Yape,3,330.88,Revisar,Hotel 7,  Miraflores ,  Oeste ,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Valeria Huaman,miraflores,NuEvO,2025-01-22
121,2026-03-24,7,8,425.95,0,Presencial,,3,534.44,Cliente frecuente,Hotel 6,Callao,Este,Suite  ejecutiva,suite,425.95,Fiorella Gomez,Chorrillos,Premium, 2025-07-22 
122,2026-06-18,3,8,262.79,8,WEB,Efectivo,2,354.29,Revisar,Hotel 4,Independencia,Norte,FAMILIAR,  Familiar ,262.79,Victor Campos,Lima,frecuente,2025-03-03
123,2026-02-11,1,7,351.23,15,Telefono,Tarjeta,1,447.17,Promocion,Hotel 6,Callao,Este,Bungalow,Especial,351.23,Diana Campos,Ventanilla,Regular,2025-11-08
124,2026-01-18,1,7,425.95,5,Presencial,Transferencia,3,462.0,OK,Hotel 1,LOS OLIVOS,Centro,Suite  ejecutiva,suite,425.95,Victor Castillo,  Ventanilla ,Nuevo,2025-08-24
125,2026-02-02,6,8,324.45,8,Telefono,Plin,5,479.04,Promocion,Hotel 4,Independencia,Norte,Suite junior,Suite,324.45,Miguel Huaman,Villa El Salvador,premium,2025-05-16
126,2026-04-02,7,5,159.18,0,Telefono,Efectivo,4,268.56,,Hotel 5,Lima,Norte,Doble,estandar,159.18,Fiorella Flores,San Juan de Lurigancho,Premium,2025-01-21
127,2026-05-02,2,10,,12,,TRANSFERENCIA,5,455.74,Revisar,Hotel 6,Callao,Este,Suite junior,Suite,324.45,Elena Reyes,Independencia,Frecuente,2025-09-21
128,2026-04-05,7,,290.5,0,Presencial,yape,5,355.29 aprox,Revisar,Hotel 1,LOS OLIVOS,Centro,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,,Surco,Premium,2025-12-25
129,2026-03-06,4,4,88.18,0,Presencial,Transferencia, 2 ,"129,21",Promocion,Hotel 2,SAN MIGUEL,  Oeste ,Simple,Estandar,88.18,Diana Ramos,Villa El Salvador,Corporativo,2025-09-15
130,2026-03-12,7,5,158.16,20,Telefono,Yape,5,277.6,,Hotel 7,  Miraflores ,  Oeste ,Matrimonial,estandar,158.16,Diana Castillo,lima,Corporativo,2025-08-12
