id_registro,fecha_operacion,clases_tomadas,asistencias_mes,tarifa_plan,descuento_pct,canal,metodo_pago,calificacion,pago_mensual,observacion,sedes_nombre,sedes_distrito,sedes_zona,planes_nombre,planes_categoria,planes_tarifa_plan,socios_nombre,socios_distrito,socios_segmento,socios_fecha_registro
38,2026-02-23,5,3,71.82,20,WhatsApp,Tarjeta,3,127.16,cliente frecuente,Sede 4,Comas,Oeste,Plan basico,Mensual,71.82,Elena Rojas,Villa El Salvador,Regular,2025-07-22
39,2026-04-08,1,16,117.96,20,WhatsApp,TrAnSfErEnCiA,2,180.15,Cliente frecuente,Sede 3,Miraflores,Centro,,MeNsUaL,117.96,Raul Flores,  San Juan de Lurigancho ,Corporativo,2025-06-20
40, 2026-06-01 ,4,1,71.82,,Telefono,YaPe,1,93.34,Revisar,Sede 3,Miraflores,Centro,Plan basico,Mensual,71.82,Carlos Rojas,CHORRILLOS,Regular,2025-10-08
41,2026-02-26,7,11,71.82,10,Telefono,Tarjeta,1,S/ 130.6,,Sede 3,Miraflores,Centro,Plan basico,Mensual,71.82,Jorge Cruz,Independencia,Frecuente,2025-06-06
42,2026-06-28,6,12,98.26,12,WhatsApp,Transferencia,4,151.75,Promocion,Sede 6,Surco,Este,FuNcIoNaL,Especial,98.26,Diego Castillo,miraflores,Frecuente,2025-07-22
43,2026-05-17,3,7 aprox,127.31,8,App,Tarjeta,5,169.53,,Sede 1,Ate,Este,Cross training,Especial,127.31,Jorge Rojas,CALLAO,Regular,2025-07-03
44,2026-01-04,4,15,196.44,8,Presencial,Efectivo,3,247.76,OK,Sede 2,Callao,Oeste,Plan familiar,Familiar,196.44,Elena Rojas,Villa El Salvador,Regular,2025-07-22
45,2026-05-03,8,14,S/ 88.04,12,  Presencial ,,3,150.08,,Sede 3,Miraflores,Centro,Yoga,Especial,88.04,,Chorrillos,Regular,2025-02-08
46, 2026-06-01 ,4,1,71.82,,Telefono,YaPe,1,93.34,Revisar,Sede 3,Miraflores,Centro,Plan basico,Mensual,71.82,Carlos Rojas,CHORRILLOS,Regular,2025-10-08
47,2026-03-07,1,18, 210.83 ,12,Web,tarjeta,5,241.84,Revisar,Sede 4,Comas,Oeste,Personalizado,Premium,210.83,Maria Cruz,Chorrillos,Premium,2025-10-28
48,2026-06-25,4,11,"55,86",0,App,Yape,5,111.9,,Sede 3,Miraflores,Centro,Plan estudiante,,55.86,Ana Ramos,La Molina,Frecuente,2025-07-23
49,2026-04-14,6,,,0,Web,Yape,4,250.57,Revisar,Sede 2,Callao,Oeste,Personalizado,Premium,210.83,Elena Salazar,Surco,  Nuevo ,2025-08-16
50,2026-06-27,3,28,S/ 137.44,10,Telefono,Transferencia,2,220.98,Promocion,Sede 4,Comas,Oeste,Plan premium,Mensual,137.44,Diego Castillo,Ventanilla,Frecuente,2025-05-09
51,2026-01-05,6,14,88.04,0,APP,Transferencia,3,148.11,  Revisar ,Sede 5,Villa El Salvador,Centro,Yoga,Especial,88.04,Camila Salazar,San Miguel,Nuevo,2025-02-16
52,2026-03-13,4,1,98.26,,Presencial,TaRjEtA,2,121.69,,Sede 4,Comas,Oeste,FuNcIoNaL,Especial,98.26,Fiorella Ramos,Los Olivos,Corporativo,2025-10-02
53,2026-05-07,1,19,127.31,8,App,Plin,5,196.82,,Sede 3,Miraflores,Centro,Cross training,Especial,127.31,Valeria Sayan,Ate,Regular,2025-05-01
54,2026/01/21,7,6,55.86,15,WeB,Efectivo,3,105.64,Promocion,Sede 7,Ventanilla,,Plan estudiante,,55.86,JoRgE QuIsPe,LiMa,Frecuente,2025-11-03
55,2026-02-24,1,14,88.04,20,Presencial,Yape,3,109.6,OK,Sede 4,Comas,Oeste,Yoga,Especial,88.04,Marco Flores,Miraflores,Frecuente,05/02/2025
56,2026-03-28,6,21,127.31,5,,EFECTIVO, 2 ,184.73,OK,Sede 7,Ventanilla,,Cross training,Especial,127.31,Marco Huaman,Lima,Premium,2025-08-28
57,2026-06-18,1,4,127.31,8,App,Yape,5,147.96,Cliente frecuente,Sede 1,Ate,Este,Cross training,Especial,127.31,Lucia Paredes,AtE,ReGuLaR, 2025-08-01 
58,2026/05/23,2,, 117.96 ,15,Web,EFECTIVO,1, 141.87 ,Revisar,Sede 6,Surco,Este,,MeNsUaL,117.96,Maria Cruz,Chorrillos,Premium,2025-10-28
59,2026-06-11,3,8,71.82,0,App,Tarjeta,2,106.93,Cliente frecuente,Sede 6,Surco,Este,Plan basico,Mensual,71.82,,Los Olivos,Corporativo,2025-06-19
60,2026-05-28,5,20,55.86,5,Telefono,Yape,4,138.08,Promocion,Sede 5,Villa El Salvador,Centro,Plan estudiante,,55.86,Elena Rojas,Villa El Salvador,Regular,2025-07-22
61,2026/04/21,4,20,"127,31",0,WhatsApp,Plin,2,193.45,PROMOCION,Sede 7,Ventanilla,,Cross training,Especial,127.31,Maria Navarro,San Miguel,Regular,2025-08-11
62,2026-05-19,5,7,210.83 aprox,15,WeB,Plin,5,222.07,Promocion,Sede 3,Miraflores,Centro,Personalizado,Premium,210.83,Valeria Sayan,Ate,Regular,2025-05-01
63,2026-02-17,5,4,117.96,,App,Efectivo,4,153.74,,Sede 1,Ate,Este,,MeNsUaL,117.96,Fiorella Campos,Los Olivos,Nuevo,2025-06-13
64,17-02-2026,6,1,98.26,12,Web,Plin,2,143.85,Promocion,Sede 6,Surco,Este,FuNcIoNaL,Especial,98.26,Diego Quispe,Ventanilla,corporativo,2025-01-07
65,14-06-2026, 3 ,3,98.26,15,App,Tarjeta,5,140.15,Revisar,Sede 7,Ventanilla,,FuNcIoNaL,Especial,98.26,Marco Huaman,Lima,Premium,2025-08-28
66,2026-01-09,3,5,137.44,8,App,Efectivo,4,165.49,,Sede 2,Callao,Oeste,Plan premium,Mensual,137.44,Miguel Paredes,Miraflores,Frecuente,2025-12-13
67,2026-01-25,5,18,98.26,10,Web,Yape,2,154.46,,Sede 4,Comas,Oeste,FuNcIoNaL,Especial,98.26,Diana Cruz,Lima,Corporativo,2025-02-24
68,2026-01-19,7,22,88.04,15,Presencial,Yape,5,595.21,,Sede 3,Miraflores,Centro,Yoga,Especial,88.04,Ana Ramos,La Molina,Frecuente,2025-07-23
69,2026-05-18,1, 21 ,117.96,0,WhAtSaPp,Yape,5,195.79,Cliente frecuente,Sede 2,Callao,Oeste,,MeNsUaL,117.96,Andre Torres,Ventanilla,Corporativo,2025-11-11
70,2026-04-03,2,2,196.44,12,Web,Transferencia,4,232.73,,Sede 2,Callao,Oeste,Plan familiar,Familiar,196.44,Carlos Vargas,Surco,Regular,2025-10-25
71,2026-05-28,2,13,127.31,0,web,Efectivo,5 aprox,162.37,Cliente frecuente,Sede 3,Miraflores,Centro,Cross training,Especial,127.31,Victor Campos,Ventanilla,Premium,2025-05-02
72,2026-05-04,6,10,117.96,0,TELEFONO,Yape,2,152.34 aprox,Promocion,Sede 6,Surco,Este,,MeNsUaL,117.96,JoRgE GoMeZ,Ventanilla,Nuevo,2025-05-22
73,2026-05-14,3,9,71.82 aprox,0,App,Plin,3,103.05,Promocion,Sede 1,Ate,Este,Plan basico,Mensual,71.82,Rocio Sayan,Chorrillos,Frecuente,2025-03-01
74,2026-03-04,7,23,"117,96",0,Web,Efectivo,1,217.46,Promocion,Sede 6,Surco,Este,,MeNsUaL,117.96,Miguel Cruz,Callao,Corporativo,2025-03-13
75,2026-02-02,1,27,117.96,15,WhatsApp,Tarjeta,1,190.62,Revisar,Sede 1,Ate,Este,,MeNsUaL,117.96,Sofia Salazar,Ate,Nuevo, 2025-04-06 
76,2026-02-14,4,9,196.44,15,,Yape,5, 242.62 ,,Sede 6,Surco,Este,Plan familiar,Familiar,196.44,Raul Flores,  San Juan de Lurigancho ,Corporativo,2025-06-20
77,2026-02-06,4 aprox,4,88.04,0,Web,Yape,4,137.44 aprox,OK,Sede 2,Callao,Oeste,Yoga,Especial,88.04,Maria Navarro,San Miguel,Regular,2025-08-11
78,2026-01-24,1,9,71.82,12,Web,Yape,3,112.74,Cliente frecuente,Sede 7,Ventanilla,,Plan basico,Mensual,71.82,Elena Salazar,Surco,  Nuevo ,2025-08-16
79,2026-04-22,6,3,210.83,15,,Tarjeta,5,226.53,,Sede 7,Ventanilla,,Personalizado,Premium,210.83,Diana Cruz,Los Olivos,Premium,2025-03-17
80,2026-04-01,1,10,137.44,0,Web,Tarjeta,3,179.11,OK,Sede 2,Callao,Oeste,Plan premium,Mensual,137.44,Camila Navarro,Miraflores,Frecuente,2025-09-14
81,2026-05-11,1,4,137.44,0,  Presencial ,Transferencia,1,169.85,,Sede 6,Surco,Este,Plan premium,Mensual,137.44,Miguel Salazar,AtE,Regular,2025-09-16
82,2026-01-01,5,25,196.44,5,WeB,Yape,1,"262,79",OK,Sede 1,Ate,Este,Plan familiar,Familiar,196.44,Valeria Huaman,Villa  El  Salvador,Corporativo,2025-07-06
83,2026-06-21,4,,71.82,10 aprox,App,Yape,5, 158.53 ,,Sede 4,Comas,Oeste,Plan basico,Mensual,71.82,Ana Huaman,Miraflores,Nuevo,2025-12-28
84,2026-01-03,7,25,117.96,0,WhatsApp,Transferencia,3 aprox,213.78,Revisar,Sede 1,Ate,Este,,MeNsUaL,117.96,Diego Castillo,miraflores,Frecuente,2025-07-22
85,2026-06-10,2,21,88.04,0,  Telefono ,Efectivo,3,144.39,Cliente frecuente,Sede 1,Ate,Este,Yoga,Especial,88.04,Camila Navarro,Miraflores,Frecuente,2025-09-14
86,2026-05-25,3,2,98.26,0,Web,Transferencia,2,123.43,   ,Sede 2,Callao,Oeste,FuNcIoNaL,Especial,98.26,Carlos Paredes,Los Olivos,Regular,18-04-2025
87,2026-03-24,6,28, 98.26 ,8,WhatsApp,Efectivo,5,187.21,CLIENTE FRECUENTE,Sede 6,Surco,Este,FuNcIoNaL,Especial,98.26,Camila Vargas,Ate,nuevo,
88,2026-05-26,5,11 aprox,55.86,5,Presencial,TRANSFERENCIA,4 aprox,S/ 111.79,,Sede 7,Ventanilla,,Plan estudiante,,55.86,JoRgE QuIsPe,LiMa,Frecuente,2025-11-03
89,2026-05-20,2,20,117.96,0,Telefono,TaRjEtA,1,191.85,Promocion,Sede 4,Comas,Oeste,,MeNsUaL,117.96,JoRgE GoMeZ,Ventanilla,Nuevo,2025-05-22
90,,1,24,127.31,15,Presencial,Transferencia,3,195.66,Cliente frecuente,Sede 7,Ventanilla,,Cross training,Especial,127.31,Diego Mendoza,San Juan de Lurigancho,Premium,2025-11-03
91,2026-03-13,1,2,88.04,0,Web,YaPe,5,129.87,OK,Sede 4,Comas,Oeste,Yoga,Especial,88.04,Luis Castillo,Callao,Nuevo,02/05/2025
92,2026-05-04, 1 ,13,98.26,10,App,Yape,1,161.25,OK,Sede 1,Ate,Este,FuNcIoNaL,Especial,98.26,  Miguel Sayan ,San Juan de Lurigancho,Corporativo,2025-02-23
93,2026-06-04,2,19,71.82,5,Presencial,Yape,3,126.37,,Sede 4,Comas,Oeste,Plan basico,Mensual,71.82,Andre Salazar,San Juan de Lurigancho,Corporativo,2025-01-06
94,2026-05-21,3,3.63,98.26,0,Telefono,Transferencia,1,132.94,Revisar,Sede 4,Comas,Oeste,FuNcIoNaL,Especial,98.26,Miguel Salazar,AtE,Regular,2025-09-16
95,2026-04-20,3,7,71.82,0,Presencial,Yape,4,134.34,,Sede 4,Comas,Oeste,Plan basico,Mensual,71.82,Victor Quispe,Miraflores,Premium,2025-04-25
96,2026-03-23,1,1,88.04,20,Presencial,Transferencia,3,115.56,Cliente frecuente,Sede 5,Villa El Salvador,Centro,Yoga,Especial,88.04,Sofia Campos,Lima,Corporativo,2025-06-09
97,06-03-2026,2,57.88,196.44,0,,Yape,1,320.62,Promocion,Sede 2,Callao,Oeste,Plan familiar,Familiar,196.44,Luis Torres,Ventanilla,Nuevo, 2025-06-03 
98,2026-03-18,4,23,98.26,8,Web,Tarjeta,1,196.03,OK,Sede 5,Villa El Salvador,Centro,FuNcIoNaL,Especial,98.26,Valeria Torres,,Nuevo,2025-05-20
99,2026-03-26,6,,,0,WhatsApp,Tarjeta,3,198.13,,Sede 7,Ventanilla,,Plan premium,Mensual,137.44,,Chorrillos,Regular,2025-02-08
100,2026-03-21,,5,55.86,0,Web,  Transferencia ,1,126.64,,Sede 2,Callao,Oeste,Plan estudiante,,55.86,Jorge Rojas,CALLAO,Regular,2025-07-03
101,2026-01-09,3,14,117.96,20,WhatsApp,efectivo,2,174.25,OK,Sede 7,Ventanilla,,,MeNsUaL,117.96,Rocio Sayan,Chorrillos,Frecuente,2025-03-01
102,2026-03-17,8,26,117.96,12,app,Efectivo,4,169.68,Cliente frecuente,Sede 5,Villa El Salvador,Centro,,MeNsUaL,117.96,Valeria Huaman,Villa  El  Salvador,Corporativo,2025-07-06
103,2026-03-13,1,2,88.04,0,Web,YaPe,5,129.87,OK,Sede 4,Comas,Oeste,Yoga,Especial,88.04,Luis Castillo,Callao,Nuevo,02/05/2025
104,10/02/2026,5,26,71.82,0 aprox,,efectivo,1,S/ 168.11,OK,Sede 7,Ventanilla,,Plan basico,Mensual,71.82,Rocio Salazar,Miraflores,Frecuente,2025-02-25
105,2026-03-02,4,5,71.82,0,App,Transferencia,5,112.43,Revisar,Sede 2,Callao,Oeste,Plan basico,Mensual,71.82,Camila Flores,lima,Corporativo,2025-03-22
106,2026/02/01,3,14,196.44,0,App,Efectivo,4,220.33,,Sede 7,Ventanilla,,Plan familiar,Familiar,196.44,Valeria Sayan,Ate,Regular,2025-05-01
107,2026-03-12,5,21,210.83,12,TELEFONO,Tarjeta, 2 ,247.28,,Sede 5,Villa El Salvador,Centro,Personalizado,Premium,210.83,,Los Olivos,Corporativo,2025-06-19
108,2026-03-05,3, 27 ,88.04,15,App,Tarjeta,4,179.28,,Sede 5,Villa El Salvador,Centro,Yoga,Especial,88.04,FiOrElLa cAmPoS,Lima,Nuevo,2025-08-23
109,2026-05-26,8,6,S/ 55.86,0,Web,Efectivo,1,96.64,Revisar,Sede 5,Villa El Salvador,Centro,Plan estudiante,,55.86,Marco Huaman,Lima,Premium,2025-08-28
110,2026-03-19,3,18,210.83,0,PRESENCIAL,Efectivo,4,276.69,,Sede 6,Surco,Este,Personalizado,Premium,210.83,Jorge Cruz,Independencia,Frecuente,2025-06-06
111,2026-03-01,4, 7 ,196.44,15,Web,Tarjeta,5,199.95,,Sede 3,Miraflores,Centro,Plan familiar,Familiar,196.44,JoRgE QuIsPe,LiMa,Frecuente,2025-11-03
112,2026-02-19,2,5,210.83,0,App,Efectivo,5,224.7,revisar,Sede 4,Comas,Oeste,Personalizado,Premium,210.83,Sofia Salazar,Ate,Nuevo, 2025-04-06 
113,2026-02-18,2,4,88.04,0,Telefono,Transferencia,3,126.87,,Sede 2,Callao,Oeste,Yoga,Especial,88.04,Diego Castillo,miraflores,Frecuente,2025-07-22
114,2026-03-22,1,21,55.86,20,WhatsApp,Efectivo,4,128.29,Cliente frecuente,Sede 4,Comas,Oeste,Plan estudiante,,55.86,Carlos Rojas,CHORRILLOS,Regular,2025-10-08
115,27/05/2026,5,94.1,127.31, 20 ,Web,Transferencia,2,343.75,Revisar,Sede 4,Comas,Oeste,Cross training,Especial,127.31,Marco Cruz,Lima,Regular,2025-05-24
116,2026-03-05,5,14,137.44,,Web,Yape,4,211.18,,Sede 2,Callao,Oeste,Plan premium,Mensual,137.44,Valeria Huaman,Villa  El  Salvador,Corporativo,2025-07-06
117,2026-06-23,2,22,71.82,0,ApP,EfEcTiVo,4,144.36,OK,Sede 2,Callao,Oeste,Plan basico,Mensual,71.82,Camila Navarro,Miraflores,Frecuente,2025-09-14
118,2026-03-08,3,17,196.44,20,Web,Transferencia,1,269.21 aprox,,Sede 1,Ate,Este,Plan familiar,Familiar,196.44,Valeria Soto,INDEPENDENCIA,Premium,2025-11-25
119,2026-01-06, 5 ,5,"98,26",12,PRESENCIAL,Yape,5,136.68,Cliente frecuente,Sede 6,Surco,Este,FuNcIoNaL,Especial,98.26,Lucia Gomez,Callao,Corporativo,2025-04-01
120,2026-01-05, 2 ,16,55.86,12,Web,,2,128.65,,Sede 3,Miraflores,Centro,Plan estudiante,,55.86,Jorge Castillo,Comas,Nuevo,2025-06-17
121,2026-04-10,4,27 aprox,88.04,0,Web,Efectivo,2,148.83,Promocion,Sede 3,Miraflores,Centro,Yoga,Especial,88.04,Fiorella Ramos,Los Olivos,Corporativo,2025-10-02
122,2026-02-24,4, 14 ,S/ 210.83,20,Telefono,Efectivo,3,229.78,,Sede 3,Miraflores,Centro,Personalizado,Premium,210.83,Diego Quispe,Ventanilla,corporativo,2025-01-07
123,2026-01-12,7,1,210.83 aprox,12,App,Efectivo,4,245.72,Cliente frecuente,Sede 5,Villa El Salvador,Centro,Personalizado,Premium,210.83,Raul Flores,  San Juan de Lurigancho ,Corporativo,2025-06-20
124,2026-05-20,1,8,117.96,5,Web,Yape,1,544.98,Promocion,Sede 4,Comas,Oeste,,MeNsUaL,117.96,Ana Ramos,La Molina,Frecuente,2025-07-23
125,2026-06-21,1,6,98.26,0,Web,Plin,3,134.74,,Sede 4,Comas,Oeste,FuNcIoNaL,Especial,98.26,Elena Rojas,Villa El Salvador,Regular,2025-07-22
126,2026-06-28,5,7, 88.04 , 10 ,Telefono,  Transferencia ,4, 117.66 ,OK,Sede 2,Callao,Oeste,Yoga,Especial,88.04,Ana Torres,,Regular,2025-10-09
127,2026-03-01,5,5,71.82,0,Telefono,Yape,2,108.67,Revisar,Sede 2,Callao,Oeste,Plan basico,Mensual,71.82,Carlos Paredes,Los Olivos,Regular,18-04-2025
128,2026-02-07,7 aprox,8,117.96,0,,Tarjeta,2,150.74,ok,Sede 2,Callao,Oeste,,MeNsUaL,117.96,Luis Torres,Ventanilla,Nuevo, 2025-06-03 
129,2026-02-22,2,26,98.26,10,WeB,Tarjeta,1,165.16,,Sede 5,Villa El Salvador,Centro,FuNcIoNaL,Especial,98.26,Victor Campos,Ventanilla,Premium,2025-05-02
130,2026-04-01,5,20,98.26 aprox,10,Web,Yape,3,172.28,Promocion,Sede 4,Comas,Oeste,FuNcIoNaL,Especial,98.26,Valeria Sayan,Ate,Regular,2025-05-01
131,2026-03-04, 8 ,2,127.31,15,Telefono,tarjeta,3, 173.75 ,OK,Sede 5,Villa El Salvador,Centro,Cross training,Especial,127.31,Marco Flores,Chorrillos,Regular,2025-10-01
132,2026-06-11,1,1,117.96,0,App,Efectivo,2,125.11,,Sede 6,Surco,Este,,MeNsUaL,117.96,Sofia Huaman,La Molina,Regular,2025-01-27
133,2026-06-09,4,9,210.83,0,  WhatsApp ,Plin,2,242.79,Revisar,Sede 5,Villa El Salvador,Centro,Personalizado,Premium,210.83,Luis Torres,Ventanilla,Nuevo, 2025-06-03 
134,2026-02-23,7,19,88.04,0,WhatsApp,Efectivo,3,163.41,,Sede 2,Callao,Oeste,Yoga,Especial,88.04,Valeria Flores,LOS OLIVOS,Frecuente,2025-03-28
135,2026-04-01,2,11,88.04,10 aprox,Web,Yape,3,135.13,Revisar,Sede 7,Ventanilla,,Yoga,Especial,88.04,Ana Torres,,Regular,2025-10-09
136,2026-03-24,2,3,55.86,10,App,yape,5,89.26 aprox,OK,Sede 4,Comas,Oeste,Plan estudiante,,55.86,fiorella castillo,LA MOLINA,ReGuLaR,26/10/2025
137,2026-05-22,1,22,S/ 210.83,12,web,Tarjeta,2,258.78,Revisar,Sede 4,Comas,Oeste,Personalizado,Premium,210.83,Lucia Gomez,Callao,Corporativo,2025-04-01
138,2026-02-08,5,16,196.44,15,App,Yape,4,244.13,Cliente frecuente,Sede 6,Surco,Este,Plan familiar,Familiar,196.44,Diana Cruz,Lima,Corporativo,2025-02-24
139,01-01-2026,6,5,71.82,0,Web,Efectivo,2,96.75,OK,Sede 4,Comas,Oeste,Plan basico,Mensual,71.82,Elena Salazar,Surco,  Nuevo ,2025-08-16
140,2026-05-13,6,18,127.31,15,  WhatsApp ,Yape,2,193.39,Revisar,Sede 2,Callao,Oeste,Cross training,Especial,127.31,Pedro Ramos,Chorrillos,Regular,2025-09-12
141,2026-06-16,5,14,127.31,0,Web,Plin,5,197.28,Promocion,Sede 1,Ate,Este,Cross training,Especial,127.31,Rocio Sayan,Chorrillos,Frecuente,2025-03-01
142, 2026-01-11 ,1,11 aprox,88.04,0,Telefono,Transferencia,4,138.99,Cliente frecuente,Sede 3,Miraflores,Centro,Yoga,Especial,88.04,Fiorella Ramos,Los Olivos,Corporativo,2025-10-02
