id_orden,fecha_operacion,cantidad_repuestos,horas_trabajo,tarifa_base,descuento_pct,canal,metodo_pago,calificacion,costo_reparacion,observacion,sedes_nombre,sedes_distrito,sedes_zona,servicios_nombre,servicios_categoria,servicios_tarifa_base,clientes_nombre,clientes_distrito,clientes_segmento,clientes_fecha_registro
38,24/01/2026,,5.82,77.01,0,App,Plin,3, 337.3 ,Cliente frecuente,SEDE 7,Chorrillos,Este,Alineamiento,Mantenimiento,77.01,Rocio Salazar,ATE,Frecuente,2025-01-05
39,2026/04/07,8, 5.7 ,482.37, 5 ,Telefono,Efectivo,4,745.96,Promocion,Sede 3,,Oeste,Embrague,Mecanica,482.37,Pedro Flores,Comas,Premium,2025-04-07
40,2026-03-13,4,1.93,111.57,5,App,Efectivo,2,310.18,,Sede 6,Independencia,Oeste,Diagnostico scanner,Diagnostico,111.57,Victor Castillo,Villa El Salvador,Premium,2025-01-13
41,2026-04-09, 2 ,7.96,S/ 111.57,,WHATSAPP,EFECTIVO,3,496.5,Revisar,SEDE 7,Chorrillos,Este,Diagnostico scanner,Diagnostico,111.57,Pedro Flores,Comas,Premium,2025-04-07
42,2026-06-10,8,11.12,143.51,0,WEB,Plin,4,,,Sede 5,Independencia,Este,Revision electrica,,143.51,,INDEPENDENCIA,Frecuente,2025-09-25
43,2026-04-18,6,6.37, 482.37 ,20 aprox,WHATSAPP,Yape,1,706.1,Revisar,Sede 2,AtE,Sur,Embrague,Mecanica,482.37,LUIS TORRES,San Juan de Lurigancho,Premium,2025-04-20
44,2026-02-08,4,2.5,143.51, 20 ,App,Tarjeta,5,320.05,Promocion,Sede 1,Ate,Sur,Revision electrica,,143.51,Miguel Castillo,Los Olivos,Frecuente,2025-01-23
45,2026-01-05,4,3.65,,0,Telefono,Plin,1,S/ 343.93,Cliente frecuente,Sede 2,AtE,Sur,Diagnostico scanner,Diagnostico,111.57,Jorge Reyes,Independencia,Frecuente,2025-04-10
46,2026-05-09,5,7.46 aprox,143.51,8,Telefono,Plin,2,467.37,Cliente frecuente,Sede 3,,Oeste,Revision electrica,,143.51,Diana Flores,La Molina,Nuevo,2025-12-16
47,2026-05-09,3,6.31 aprox,306.55,0,Telefono,Efectivo,5,534.03,Revisar,Sede 4,Ate,  Este ,,Electricidad,306.55,Jorge Reyes,Independencia,Frecuente,2025-04-10
48,2026-05-07,3,6.91,306.55,,,Efectivo,3,593.54,OK,Sede 1,Ate,Sur,,Electricidad,306.55,Jorge Reyes,Independencia,Frecuente,2025-04-10
49,2026-04-28,4,0.84,,8,Presencial,TaRjEtA,5,230.0,Promocion,Sede 5,Independencia,Este,Diagnostico scanner,Diagnostico,111.57,Rocio Torres,,Corporativo,2025-10-08
50,2026-02-10,5, 12.0 ,111.57,10,Presencial,Transferencia,5,574.27,,SEDE 7,Chorrillos,Este,Diagnostico scanner,Diagnostico,111.57,Claudia Reyes,San Miguel,Premium,2025-01-17
51,2026-04-02,2,11.55,90.23 aprox,12,Web,  Transferencia ,1,1316.24,Promocion,Sede 1,Ate,Sur,Cambio de aceite,Mantenimiento,90.23,Claudia Salazar,San Miguel,  Nuevo ,2025-03-05
52,2026-03-16,5,4.05,182.15,0,WHATSAPP,Tarjeta,3 aprox,437.31 aprox,Promocion,Sede 2,AtE,Sur,Frenos,Seguridad,182.15,ANDRE GOMEZ,Ate,,2025-01-10
53,2026-02-18,2,10.37,77.01,12,Telefono,Transferencia,5,490.46,Promocion,Sede 6,Independencia,Oeste,Alineamiento,Mantenimiento,77.01,Miguel Ramos,Ventanilla,Premium,2025-04-21
54,21/06/2026,2,3.88,90.23,0,Presencial,Plin,5,252.86,Cliente frecuente,Sede 1,Ate,Sur,Cambio de aceite,Mantenimiento,90.23,Miguel Salazar,Miraflores,Premium,19-08-2025
55,2026-05-25,,6.75,182.15,0,Presencial,  Yape ,1,,OK,Sede 3,,Oeste,Frenos,Seguridad,182.15,Lucia Campos,Villa El Salvador,Frecuente,2025-08-03
56,2026-06-24,7,3.16,111.57,12,WhatsApp,Tarjeta,3,378.06,promocion,Sede 1,Ate,Sur,Diagnostico scanner,Diagnostico,111.57,Miguel Salazar,Ate,Frecuente,2025-06-11
57, 2026-02-12 ,4,1.53 aprox,S/ 111.57,10,WhatsApp,YaPe,2,254.26,OK,SEDE 7,Chorrillos,Este,Diagnostico scanner,Diagnostico,111.57,Rocio Mendoza,San Juan de Lurigancho,Nuevo,2025-04-10
58,18-06-2026,2,"6,85",77.01,15,Presencial,Plin,3,435.11,,Sede 6,Independencia,Oeste,Alineamiento,Mantenimiento,77.01,Claudia Salazar,San Miguel,  Nuevo ,2025-03-05
59,2026-04-19,1,7.4, 90.23 ,0,Web,Tarjeta,2,396.77,Revisar,Sede 5,Independencia,Este,Cambio de aceite,Mantenimiento,90.23,Diana Sayan,LA MOLINA,Corporativo,2025-05-16
60,2026-06-05,5,11.59,215.96,5,App,efectivo,2,730.76,OK,Sede 5,Independencia,Este,Afinamiento,Motor,215.96,Carlos Cruz,Surco,Premium,2025-12-11
61,2026-04-09,2,6.5,306.55,5,WhatsApp,Efectivo,4,555.46,Promocion,Sede 1,Ate,Sur,,Electricidad,306.55,DiEgO CaMpOs,Surco,Nuevo,2025-04-11
62, 2026-04-24 ,2,1.2,143.51,8,Telefono,Tarjeta,3,192.53,,Sede 2,AtE,Sur,Revision electrica,,143.51,Pedro Gomez,Miraflores,regular,2025-10-08
63,2026-03-22,6,7.36,306.55,10,Telefono,Efectivo,1,622.02,,Sede 2,AtE,Sur,,Electricidad,306.55,Victor Gomez,Lima,Regular,2025/05/07
64,2026-05-05,2,1.18,77.01,5,App,Tarjeta,2, 189.9 ,Promocion,Sede 6,Independencia,Oeste,Alineamiento,Mantenimiento,77.01,  Carlos Paredes ,VeNtAnIlLa,Corporativo,2025-01-15
65,2026-03-20,2,10.47,182.15,0,WhatsApp,Efectivo,2 aprox,614.52,Revisar,Sede 5,Independencia,Este,Frenos,Seguridad,182.15,Raul Reyes,Ventanilla,PREMIUM,2025-11-24
66,2026-06-16,4,9.25 aprox,111.57,10,Telefono,Tarjeta,3,511.97,,Sede 3,,Oeste,Diagnostico scanner,Diagnostico,111.57,LUIS TORRES,San Juan de Lurigancho,Premium,2025-04-20
67,2026-04-03,7,7.28,275.62,0,TeLeFoNo,,3,663.59,OK,Sede 3,,Oeste,SuSpEnSiOn,MECANICA,275.62,Luis Mendoza,surco,Frecuente,2025-07-20
68,2026-02-10,6,7.2,482.37,8,Presencial,YAPE,3,752.07,,Sede 6,Independencia,Oeste,Embrague,Mecanica,482.37,Claudia Reyes,San Miguel,Premium,2025-01-17
69,2026-06-20,4,1.27,215.96,20,Presencial,Yape,2,1417.2,Revisar,Sede 2,AtE,Sur,Afinamiento,Motor,215.96,Diana Rojas,Callao,Regular,2025-02-05
70,2026/01/25,3,6.63,482.37,5,App,YaPe,2,746.52,  Cliente frecuente ,SEDE 7,Chorrillos,Este,Embrague,Mecanica,482.37,Camila Castillo,Villa El Salvador,Premium,2025-10-18
71,2026-04-08,2,10.3,306.55,5,Web,Yape,3,687.99,Cliente frecuente,Sede 4,Ate,  Este ,,Electricidad,306.55,Miguel Campos,Ventanilla,Regular,2025-01-12
72,2026-03-13,4,9.97,215.96,0,Presencial,Plin,1,"722,04",Revisar,SEDE 7,Chorrillos,Este,Afinamiento,Motor,215.96,  Diana Rojas ,Lima,Nuevo,2025-03-12
73,2026-06-24,1,0.53,306.55,20,Telefono,Efectivo, 2 ,267.78,Promocion,Sede 6,Independencia,Oeste,,Electricidad,306.55,Pedro Cruz,La Molina,Premium,2025-11-25
74,2026-03-20,7,1.59,275.62,10,App,Transferencia,3,394.94,Revisar,Sede 4,Ate,  Este ,SuSpEnSiOn,MECANICA,275.62,Fiorella Cruz,chorrillos,Frecuente,2025-04-07
75,2026-02-10,3,9.84 aprox,215.96,0,WhatsApp,Plin,4,581.0,Cliente frecuente,Sede 2,AtE,Sur,Afinamiento,Motor,215.96,Diana  Soto,Lima,ReGuLaR,2025-02-19
76,2026-03-18,2,1.73,182.15,8,WhatsApp,YAPE,5,273.2,  Promocion ,Sede 3,,Oeste,Frenos,Seguridad,182.15,Raul Reyes,Ventanilla,PREMIUM,2025-11-24
77, 2026-04-26 ,7 aprox,9.53,90.23,15,Telefono,YAPE,2,601.48,,Sede 5,Independencia,Este,Cambio de aceite,Mantenimiento,90.23,Jorge Paredes,La Molina,Nuevo,2025-02-09
78,2026-04-25,1,6.83,143.51,,Telefono,Plin,4,388.33,Revisar,Sede 4,Ate,  Este ,Revision electrica,,143.51,Pedro Paredes,San Juan de Lurigancho,Regular,2025-11-07
79,2026-04-28,6,6.09,306.55,15,WhatsApp,Transferencia,1,585.37,Cliente frecuente,Sede 5,Independencia,Este,,Electricidad,306.55,Miguel Ramos,Ventanilla,Premium,2025-04-21
80,2026-06-22,1,1.47,143.51,15,WhAtSaPp,Plin,2,173.42,OK,Sede 5,Independencia,Este,Revision electrica,,143.51,Raul Reyes,Ventanilla,PREMIUM,2025-11-24
81,2026-01-17,3,9.08,,20,Telefono,Plin,2,608.18,,Sede 1,Ate,Sur,Afinamiento,Motor,215.96,Maria Salazar,Callao,Nuevo,2025-07-16
82,2026-02-20, 7 ,9.82,182.15,12,Presencial,Yape,1, 626.91 ,Cliente frecuente,Sede 2,AtE,Sur,Frenos,Seguridad,182.15,Sofia Torres,Chorrillos,NUEVO,2025-05-14
83,2026-06-21,4, 0.73 ,S/ 90.23,15,Web,Transferencia,2,172.92,Cliente frecuente,SEDE 7,Chorrillos,Este,Cambio de aceite,Mantenimiento,90.23,Rocio Reyes,Villa El Salvador,nuevo,2025-10-23
84,2026-05-19,8,10.86,S/ 275.62,8,App,Efectivo,4,698.5,Cliente frecuente,Sede 5,Independencia,Este,SuSpEnSiOn,MECANICA,275.62,Maria Sayan,Villa El Salvador,,2025-12-04
85,2026-02-27,8,7.3,77.01,10,Telefono,Yape,5,532.97,Cliente frecuente,Sede 1,Ate,Sur,Alineamiento,Mantenimiento,77.01,Victor Reyes,San Juan de Lurigancho,Nuevo,2025-09-15
86,2026-02-08, 4 , 3.12 ,111.57,8,Telefono,Tarjeta,3,335.03,Cliente frecuente,Sede 5,Independencia,Este,Diagnostico scanner,Diagnostico,111.57,Maria Reyes,Comas,Nuevo,2025-09-12
87,2026-04-10,6,1.75,90.23,10,App,Plin,5,292.41,PROMOCION,Sede 6,Independencia,Oeste,Cambio de aceite,Mantenimiento,90.23,Maria Sayan,Villa El Salvador,,2025-12-04
88,2026-06-28,3,6.06,215.96,12,TeLeFoNo,Transferencia,2,451.9,Cliente frecuente,Sede 5,Independencia,Este,Afinamiento,Motor,215.96,Pedro Huaman,  San Miguel ,Corporativo,2025-11-25
89,2026-05-22,1,10.56,143.51,12 aprox,App,Yape, 1 ,531.29,Revisar,Sede 4,Ate,  Este ,Revision electrica,,143.51,Marco Rojas,Chorrillos,Regular,2025-11-23
90,2026-06-02,3,11.8,143.51,15,Web,Yape,2,651.05,OK,Sede 2,AtE,Sur,Revision electrica,,143.51,Camila Ramos,Los Olivos,Premium,2025-09-15
91,2026-06-26,2,10.17,143.51 aprox,15,Telefono,Yape,5,547.63,,Sede 4,Ate,  Este ,Revision electrica,,143.51,Pedro Torres,Villa El Salvador,Regular, 2025-05-11 
92,2026-04-24,5,"4,96",306.55,0 aprox,WhatsApp,Transferencia,5,S/ 556.42,Revisar,Sede 2,AtE,Sur,,Electricidad,306.55,,INDEPENDENCIA,Frecuente,2025-09-25
93,2026-06-26,5,1.87,275.62,8,Telefono,Transferencia,5,392.45,Revisar,Sede 3,,Oeste,SuSpEnSiOn,MECANICA,275.62,Rocio Salazar,ATE,Frecuente,2025-01-05
94,2026-04-23,6,5.58, 215.96 , 8 ,PrEsEnCiAl,Yape,2 aprox,485.09,Promocion,Sede 2,AtE,Sur,Afinamiento,Motor,215.96,Andre Mendoza,Los Olivos,Nuevo,2025-09-01
95,2026-06-27,4,1.58,111.57,5,Presencial,Efectivo,4, 229.38 ,OK,Sede 6,Independencia,Oeste,Diagnostico scanner,Diagnostico,111.57,Marco Rojas,Chorrillos,Regular,2025-11-23
96,2026-03-18,4,1.24,306.55,0,APP,Transferencia,5,355.31,Cliente frecuente,SEDE 7,Chorrillos,Este,,Electricidad,306.55,Pedro Flores,Comas,Premium,2025-04-07
97,2026-03-07,1 aprox,6.71,306.55,0,WEB,  Yape ,2,537.21,OK,Sede 3,,Oeste,,Electricidad,306.55,Jose Quispe,Ventanilla,Nuevo,2025-09-05
98,2026-06-28,5,2.19,77.01,10,presencial,Plin,1,234.21,Revisar,Sede 4,Ate,  Este ,Alineamiento,Mantenimiento,77.01,Rocio Reyes,Villa El Salvador,nuevo,2025-10-23
99,2026-01-25, 2 ,1.97,111.57,10,Presencial,Plin,3, 255.8 ,Revisar,Sede 2,AtE,Sur,Diagnostico scanner,Diagnostico,111.57,Andre Flores,Los Olivos,Regular,2025-05-23
100,2026-04-03,6,3.06,111.57,5,Web,,4, 355.19 ,OK,Sede 6,Independencia,Oeste,Diagnostico scanner,Diagnostico,111.57,Rocio Salazar,ATE,Frecuente,2025-01-05
101,2026-03-09,6,1.23,182.15,5,Presencial,Transferencia,5,286.37,OK,Sede 2,AtE,Sur,Frenos,Seguridad,182.15,Diana Quispe,Villa El Salvador,Premium,2025-10-26
102, 2026-04-05 , 3 ,5.84, 77.01 ,20,Telefono,Tarjeta,3,331.25,Cliente frecuente,Sede 1,Ate,Sur,Alineamiento,Mantenimiento,77.01,Miguel Cruz,Ventanilla,Frecuente,2025-09-14
103,2026-05-06,7,11.0,482.37,10,App,Transferencia,4,921.69,Cliente frecuente,Sede 2,AtE,Sur,Embrague,Mecanica,482.37,Raul Reyes,Ventanilla,PREMIUM,2025-11-24
104,2026-02-18,3,4.1,S/ 182.15,0,Web,Yape,1,350.53,Cliente frecuente,Sede 6,Independencia,Oeste,Frenos,Seguridad,182.15,Diana  Quispe,Surco,Regular,2025-01-05
105,2026-05-14,8,3.41,143.51,0,Telefono,Transferencia,4,338.72,Cliente frecuente,Sede 4,Ate,  Este ,Revision electrica,,143.51,Diego Flores,San Miguel,Corporativo,2025-03-07
106,2026-03-17,1,5.65,90.23,0,Presencial,Efectivo,3,350.25,Cliente frecuente,Sede 2,AtE,Sur,Cambio de aceite,Mantenimiento,90.23,Andre Flores,Los Olivos,Regular,2025-05-23
107,2026-05-16,7,6.71,143.51,,  Telefono ,Plin,5,530.68,,Sede 3,,Oeste,Revision electrica,,143.51,Claudia Reyes,San Miguel,Premium,2025-01-17
108,2026-04-25,3,9.64,77.01,0,WhatsApp,Efectivo,3,549.23,Cliente frecuente,SEDE 7,Chorrillos,Este,Alineamiento,Mantenimiento,77.01,,Miraflores,Nuevo,2025-09-07
109,2026-03-18,5,11.01,306.55,0,Telefono,Plin,5,709.65,Promocion,Sede 4,Ate,  Este ,,Electricidad,306.55,Elena Reyes,COMAS,Nuevo,2025-05-21
110,,6,0.84,275.62,0,Presencial,Transferencia,2,341.97,,Sede 3,,Oeste,SuSpEnSiOn,MECANICA,275.62,Victor Reyes,LOS OLIVOS,Frecuente,2025-02-08
111,2026-04-21,8,4.41,"482,37",0,WhatsApp,Efectivo,3,681.14,Revisar,Sede 6,Independencia,Oeste,Embrague,Mecanica,482.37,Victor Castillo,Villa El Salvador,Premium,2025-01-13
112,2026-06-02,8,0.5,482.37,5,Web,  Efectivo ,2,524.18 aprox,Cliente frecuente,SEDE 7,Chorrillos,Este,Embrague,Mecanica,482.37,Elena Reyes,COMAS,Nuevo,2025-05-21
113,2026-05-21,7,7.5,182.15,10,Telefono,Tarjeta,4, 544.03 ,OK,SEDE 7,Chorrillos,Este,Frenos,Seguridad,182.15,,Miraflores,Nuevo,2025-09-07
114,2026-06-22,6,4.46,182.15,,Telefono,Efectivo,4,376.67,,Sede 4,Ate,  Este ,Frenos,Seguridad,182.15,Maria Reyes,Comas,Nuevo,2025-09-12
115,2026-02-12,3,,90.23,0,Telefono,,2,232.25,,Sede 6,Independencia,Oeste,Cambio de aceite,Mantenimiento,90.23,Jorge Reyes,Independencia,Frecuente,2025-04-10
116,,,7.63,143.51,8,Telefono,Transferencia,2,536.6,Cliente  frecuente,SEDE 7,Chorrillos,Este,Revision electrica,,143.51,Fiorella Salazar,San Miguel,Premium,2025-09-13
117,2026-06-05,1,7.44,111.57,20,WhatsApp,Plin,1,431.33 aprox,OK,Sede 3,,Oeste,Diagnostico scanner,Diagnostico,111.57,Lucia Campos,Villa El Salvador,Frecuente,2025-08-03
118, 2026-02-20 ,4,6.06,306.55,8,Web,Yape,3,467.3,Promocion,Sede 4,Ate,  Este ,,Electricidad,306.55,Andre Mendoza,Los Olivos,Nuevo,2025-09-01
119,2026-02-09,2,1.89,482.37,5,Telefono,Efectivo,4,506.88,,Sede 3,,Oeste,Embrague,Mecanica,482.37,Jose Quispe,Ventanilla,Nuevo,2025-09-05
120,2026-01-09,3,11.59,275.62,0,WhatsApp,Yape,3,659.56,Promocion,Sede 3,,Oeste,SuSpEnSiOn,MECANICA,275.62,Raul Navarro,Ventanilla,Corporativo,2025-10-19
121,2026-05-08,3,4.26,215.96,0 aprox,WeB,,4,455.17,OK,Sede 2,AtE,Sur,Afinamiento,Motor,215.96,Carlos Cruz,Surco,Premium,2025-12-11
122,2026-06-07,8,1.81,482.37,15,Telefono,Tarjeta,5,577.68,Cliente frecuente,Sede 2,AtE,Sur,Embrague,Mecanica,482.37,Rocio Reyes,Villa El Salvador,nuevo,2025-10-23
123,2026-04-21,2,"7,98",306.55,0,PRESENCIAL,Tarjeta,4,547.37,Cliente frecuente,Sede 1,Ate,Sur,,Electricidad,306.55,Pedro Salazar,La Molina,Regular,28/08/2025
124,2026-03-24,4,6.84,90.23,8,WhatsApp,Transferencia,5,435.08,Cliente frecuente,Sede 4,Ate,  Este ,Cambio de aceite,Mantenimiento,90.23,Victor Reyes,LOS OLIVOS,Frecuente,2025-02-08
125,2026-02-01,7,7.79,143.51,15,TeLeFoNo,Yape,1,534.32,,SEDE 7,Chorrillos,Este,Revision electrica,,143.51,Carlos Paredes,Independencia,Nuevo,2025-03-14
126,2026-02-15,2,10.19,77.01 aprox,0,Presencial,tarjeta,3,487.85,Promocion,Sede 3,,Oeste,Alineamiento,Mantenimiento,77.01,Rocio Soto,San Juan de Lurigancho,Regular,2025-07-12
127,2026-01-16,8,5.39 aprox,111.57,10,App,YAPE,3,434.33,Cliente frecuente,Sede 4,Ate,  Este ,Diagnostico scanner,Diagnostico,111.57,Luis Flores,San Miguel,Nuevo,2025-08-19
128,2026-05-24,8,10.79,90.23,20,Presencial,Tarjeta,4,588.54,,Sede 1,Ate,Sur,Cambio de aceite,Mantenimiento,90.23,Jorge Paredes,La Molina,Nuevo,2025-02-09
129,2026-06-17,1,3.96,215.96,12,Telefono,Plin,1,332.69,Cliente frecuente,Sede 2,AtE,Sur,Afinamiento,Motor,215.96,Jose Sayan,Los Olivos,Premium,03/06/2025
130,2026-01-04,1,,482.37,15,Telefono,Efectivo,4 aprox, 581.04 ,OK,Sede 6,Independencia,Oeste,Embrague,Mecanica,482.37,Diego Sayan,  Independencia ,Corporativo,2025-07-10
131,2026-03-19,6,4.52,482.37 aprox,10,Presencial,Plin,3,609.44,Cliente frecuente,Sede 5,Independencia,Este,Embrague,Mecanica,482.37,Andre Salazar,Chorrillos,Nuevo, 2025-07-12 
132, 2026-04-10 ,1,10.99,275.62,0,App,Transferencia,3 aprox,682.08,,Sede 1,Ate,Sur,SuSpEnSiOn,MECANICA,275.62,Marco Navarro,Chorrillos,Corporativo,2025-11-19
133,2026-05-04,7,6.94,306.55,15,APP,Tarjeta,,677.46,Ok,Sede 5,Independencia,Este,,Electricidad,306.55,ANDRE GOMEZ,Ate,,2025-01-10
134,2026-01-07,2,11.71,306.55,15,App,Yape,4,723.77,,Sede 3,,Oeste,,Electricidad,306.55,Andre Castillo,Ate,Nuevo,2025-11-03
