id_venta,fecha_operacion,cantidad_unidades,precio_venta_unitario,costo_unitario,descuento_pct,stock_inicial,stock_final,merma_unidades,canal,metodo_pago,monto_venta_soles,margen_venta_soles,observacion,tiendas_nombre,tiendas_distrito,tiendas_zona,tiendas_tipo_local,productos_nombre,productos_categoria,productos_proveedor,productos_costo_unitario,productos_precio_lista,clientes_nombre,clientes_distrito,clientes_segmento,clientes_fecha_registro
18,2026-01-18,27,13.44,8.38,3,109,82,0,Delivery local,Yape,177.01,43.29,Revisar stock,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Aceite vegetal 1L,Aceites,  Oleo Andino ,8.03,12.76,Camila Castillo,San Miguel,Negocio,2025-12-18
19,2026-02-09,15,9.87,5.65,0,224,209,0,Mostrador,Tarjeta,97.25,52.97,Revisar stock,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,,Villa El Salvador,Ocasional,2025-12-02
20,02-03-2026,4,S/ 5.25,3.16,5,79,75,0,Delivery local,Plin,39.08,24.72,Revisar stock,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1,Carlos Vargas,Villa El Salvador,Ocasional,2025-07-19
21,2026-06-25,48,3.85,2.27,0,78,30,0,Mostrador,Yape, 405.43 ,359.14,Cliente frecuente,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Carlos Campos,  Ate ,Familia,2025-06-11
22,2026-02-03,60,5.11,3.37,5,226,166, 0 ,Delivery local,Transferencia,426.32,351.72,OK,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Lenteja 500g,Menestras,Campo Bueno,3.38,5.14,Jose Gomez,Surco,Negocio, 2025-04-09 
23,2026-02-14,240,6.51,4.43,0,365,125,0,Delivery local,Tarjeta,1066.63,590.43,Revisar stock,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Atun en lata,Conservas,Mar Azul,4.39,6.74,Valeria Quispe,San Miguel,Familia,2025-03-27
24,2026-05-07,50,7.1,4.33,5,94,44,0,TeLeFoNo,tarjeta,S/ 279.92,"198,26",ClIeNtE FrEcUeNtE,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Atun en lata,Conservas,Mar Azul,4.39,6.74,Luis Quispe,Ventanilla,Negocio,2025-11-12
25,2026-03-06,60,5.33 aprox,3.31,5,81,,3,Mostrador,Yape,524.32,S/ 428.82,Cliente frecuente,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Lenteja 500g,Menestras,Campo Bueno,3.38,5.14,Elena Salazar,Callao,Negocio,2025-06-19
26,2026-03-06,60,5.33 aprox,3.31,5,81,,3,Mostrador,Yape,524.32,S/ 428.82,Cliente frecuente,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Lenteja 500g,Menestras,Campo Bueno,3.38,5.14,Elena Salazar,Callao,Negocio,2025-06-19
27,2026-03-18,6,27.39,S/ 19.79,10 aprox,194,188,0 aprox,Telefono,Transferencia,88.38,0.61,revisar stock,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Lucia Sayan,surco,FAMILIA,2025-07-13
28,2026-03-04,26,26.23,18.41,3,81,55,0,telefono,Plin,736.41,4.67,OK,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Lucia Ramos,Comas,Vecino frecuente, 2025-12-16 
29,2026-02-19,29,9.75,S/ 5.67,5,227,196,2,Telefono,YAPE,251.59,157.82,,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,Valeria Reyes,Chorrillos,VeCiNo fReCuEnTe,2025-12-24
30,2026-02-17,16,6.59 aprox,4.47,12,241,225,0,Mostrador,Plin,96.32,56.29,Cliente frecuente,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Atun en lata,Conservas,Mar Azul,4.39,6.74,Raul Soto,Surco,FaMiLiA,17/03/2025
31,2026-05-25,22,4.92,3.39,3,183,161,0,WhAtSaPp,Efectivo,108.01,77.0,Promocion,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,Luis Mendoza,Villa El Salvador,Ocasional,2025-12-18
32,2026-01-22,29,4.98,3.35,0,52,23,0,WHATSAPP,EFECTIVO,183.34,144.96,,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Lenteja 500g,Menestras,Campo Bueno,3.38,5.14,Camila Torres,Villa El Salvador,Negocio,2025-08-02
33,2026-04-06,63,5.13, 3.12 ,0,179,116,0,Telefono,Efectivo,354.08,260.64,Promocion,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1,Camila Torres,Villa El Salvador,Negocio,2025-08-02
34,2026-02-09,38,6.79, 4.55 ,12, 103 ,65,,Delivery local,Tarjeta,273.24,212.01,,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Atun en lata,Conservas,Mar Azul,4.39,6.74,Andre Navarro,Ate,Negocio,2025-10-18
35,2026-04-27,,5.06,3.38,8,69,58,0,Telefono,Transferencia,"77,98",46.99,,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Lenteja 500g,Menestras,Campo Bueno,3.38,5.14,,La Molina,Vecino frecuente,2025-04-01
36,2026-02-22,290,26.57,18.66,3,499,209,0,Telefono,Plin,2493.24,85.31,OK,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Luis Quispe,Ventanilla,Negocio,2025-11-12
37,2026-05-26,63,14.4,9.71,5,223,160,0,WhatsApp,Plin,445.96,166.51,Revisar stock,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Andre Rojas,San Miguel,Mayorista pequeno,2025-09-14
38,,30,3.67,2.26,12, 121 ,91,0,WhAtSaPp,Efectivo,194.46,193.01,,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Raul Ramos,Ate,NeGoCiO,19-06-2025
39,2026-02-12,8 aprox,14.65,10.18,0, 253 ,245,0,,Tarjeta,87.74,27.79,,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Maria Ramos,Los Olivos,Vecino frecuente,2025-06-25
40,2026-04-17,25 aprox,26.25,19.81,5,90,65,0,WhatsApp,Tarjeta,217.71,-53.34,OK,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Ana Vargas,Ate,Familia,2025-08-20
41,2026-06-08,62,3.62,2.23,0,133,71,0,Delivery local,PlIn,443.33 aprox,353.23,Cliente frecuente,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Andre Rojas,San Miguel,Mayorista pequeno,2025-09-14
42,2026-03-14,61,14.94,9.93,0,274,213,0,Mostrador,Efectivo,406.56,105.9,,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Elena Rojas,Comas,Mayorista pequeno,2025-08-03
43,2026-03-18,62,9.79,5.87,15,269,207,0,Telefono,Transferencia,299.18,160.95,Revisar stock,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,Pedro Quispe,Los Olivos,Negocio,2025-08-05
44,2026-05-08,26,15.94,9.93,0,179,153,0,Telefono,Transferencia,"210,95",S/ 64.51,,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Rocio Campos,Los Olivos,Negocio,2025-01-08
45,2026-05-16,67,26.88,18.74,15,120,53,0,WhatsApp,Yape,518.27,1.14 aprox,Promocion,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Carlos Quispe,Ate,Familia,2025-08-24
46,11-03-2026, 4 ,S/ 9.57,6.93,0,98,94,0,Delivery local,Yape,65.59,17.86,Cliente frecuente,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Detergente bolsa,Limpieza,Casa Limpia,6.62,9.65,Ana Vargas,Ate,Familia,2025-08-20
47,2026-04-06,55,,3.44,5,,64,0,Telefono,Transferencia,373.47,308.84,,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,Valeria Rojas,Lima,,2025-01-18
48,2026-06-08,6,6.64,4.31,0,102,93,3,  Telefono ,Yape,59.12,28.02,Revisar stock,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Atun en lata,Conservas,Mar Azul,4.39,6.74,DiAnA CrUz,Chorrillos,,2025-03-28
49,2026-05-19,47,S/ 15.37,10.18,15,276,229,0,Mostrador,Transferencia,253.78,,,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Raul Sayan,  Lima ,Mayorista pequeno,2025-05-18
50,2026-05-14,29,9.58,6.73,10,201,172,0,Telefono,Yape,S/ 219.96,148.05,Promocion,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Detergente bolsa,Limpieza,Casa Limpia,6.62,9.65,Luis Quispe,Ventanilla,Negocio,2025-11-12
51,2026-05-14,53,26.7,18.75,12,282,229,0,Telefono,Plin,431.03,-14.68,PROMOCION,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Andre Rojas,Comas,Familia,12-04-2025
52,2026-04-19,19,28.71,19.89,0,147,128,0 aprox,  Delivery local ,Transferencia,179.19,-39.25,,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Maria Ramos,Los Olivos,Vecino frecuente,2025-06-25
53,2026-01-21,55,6.9,4.48,0,159,104,0,Delivery local,Plin,411.76,285.82,Cliente frecuente,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Atun en lata,Conservas,Mar Azul,4.39,6.74,Rocio Vargas,Chorrillos,Negocio,2025-12-24
54,2026-02-13,14,3.53, 2.28 ,3,151,,0,WhatsApp,Yape,117.15,S/ 101.93,,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Carlos Salazar,Chorrillos,Vecino frecuente,2025-01-16
55,2026-04-25, 9 , 2.93 ,1.61 aprox,15,121,112,0,WhatsApp,plin,53.82,"59,91",Revisar stock,Abarrotes Esperanza 2,La Molina,Norte,Almacen,galletas soda,Snacks,Dulcesur,1.64,2.79,Carlos Reyes,Ate,Mayorista pequeno,2025-04-03
56,2026-03-28,5,5.02,3.35,5,141,136,0,Telefono,EfEcTiVo,31.33,31.31,Promocion,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1,Ana Castillo,Ate,Negocio,2025-04-02
57,2026-02-26,69,3.71,2.27,15,189,118,2,Mostrador,Transferencia,578.97,599.21,,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Lucia Sayan,surco,FAMILIA,2025-07-13
58,2026-03-07,31 aprox,7.64,4.87,0,222,189,2,WhatsApp,Efectivo,244.12,144.29,Revisar stock,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Yogurt familiar,Lacteos,Lacteos Lima,4.69,7.48,SOFIA SOTO,  Miraflores ,Vecino frecuente,2025-10-23
59,18-04-2026,9, 9.29 ,5.94,0,238, 226 ,3,WHATSAPP,Efectivo,72.06,25.29,Cliente frecuente,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,Camila Huaman,San Miguel,Ocasional,2025-10-03
60,2026-04-20, 53 ,9.63,6.9,,89,36,0,mostrador,Plin,514.72,S/ 315.52,,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Detergente bolsa,Limpieza,Casa Limpia,6.62,9.65,Luis Quispe,Ventanilla,Negocio,2025-11-12
61,2026-04-28, 68 ,12.5,7.97,10,289,218,3,Delivery local,efectivo,274.23,12.31,OK,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Aceite vegetal 1L,Aceites,  Oleo Andino ,8.03,12.76,Sofia Vargas,CaLlAo,Familia,2025-12-16
62,2026-05-02,37,26.75,19.09,0,66,29,0,Mostrador,Transferencia,374.02,8.59,Revisar stock,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Camila Quispe,Surco,Negocio,2025-08-06
63,2026-01-19,50,27.66,19.85,15,110,57,3,Mostrador,Transferencia,343.86,-155.55,Promocion,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Rocio Vargas,Chorrillos,Negocio,2025-12-24
64,17/02/2026,43,3.55,"2,2",5,219,176,0,delivery local,Yape, 257.35 ,225.18,OK,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Elena Salazar,Callao,Negocio,2025-06-19
65,2026-04-16,71,27.74,18.51,0,210,139,0,Telefono,Yape,537.6,-103.36,Promocion,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Raul Sayan,  Lima ,Mayorista pequeno,2025-05-18
66,2026-02-06,54,3.75,2.18,8,103,49,0,WHATSAPP,Efectivo,398.7,358.05,Revisar stock,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Camila Campos,San Miguel,Ocasional,2025-04-17
67, 2026-06-13 ,75,"2,95",1.62,0,265,190,0,Delivery  local,Transferencia,588.19,527.22,,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,galletas soda,Snacks,Dulcesur,1.64,2.79,Fiorella Navarro,Callao,  Ocasional ,2025-01-04
68,26/04/2026,4,14.28,9.64 aprox,5,202,198,0,WHATSAPP,Yape,52.57,9.04,Revisar stock,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Lucia Ramos,Comas,Vecino frecuente, 2025-12-16 
69,2026-02-13,14,5.49,3.29,,106,91,1,Telefono,Yape,88.51,"43,37",REVISAR STOCK,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Lenteja 500g,Menestras,Campo Bueno,3.38,5.14,RoCiO SaYaN,Ate,Negocio,2025-04-18
70,2026-05-10,27,,19.44,12,214,,0,WhatsApp,TRANSFERENCIA,227.73,"-38,0",Promocion,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Ana Paredes,Callao,Ocasional,2025-06-26
71,2026/02/10,39,3.87,2.2,3,238,194,5,whatsapp,TRANSFERENCIA,267.42,206.08,Promocion,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Camila Campos,San Miguel,Ocasional,2025-04-17
72,02-06-2026,34,13.14,7.85,8,158,124, 0 ,Delivery local,TARJETA,253.08,128.08,,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Aceite vegetal 1L,Aceites,  Oleo Andino ,8.03,12.76,Camila Torres,Villa El Salvador,Negocio,2025-08-02
73,2026-05-23,70,29.46, 18.49 ,,83,13,0,,Tarjeta,525.66,-106.48,Revisar stock,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Jorge Huaman,Miraflores,Negocio,2025-01-03
74,2026-04-23,66,,S/ 4.37,0,259,192,1,Mostrador,Plin,544.54,397.73,Cliente frecuente,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Atun en lata,Conservas,Mar Azul,4.39,6.74,Raul Sayan,  Lima ,Mayorista pequeno,2025-05-18
75,04-05-2026,48,14.53, 9.9 ,15,176,128,0,Mostrador,Plin,296.41,106.66,,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Carlos Reyes,comas,Vecino frecuente,2025-01-09
76,2026-01-17,,9.4,6.03,3,88,15,1,Telefono,Transferencia,517.53,"302,01",Revisar stock,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,Claudia Mendoza,San Miguel,Mayorista pequeno,2025-12-02
77,2026-06-06,19, 5.16 ,3.22,15,247,228, 0 ,Delivery local,Tarjeta,150.83,120.73,cliente frecuente,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1,Luis Reyes,Los Olivos,  Familia ,2025-06-17
78,2026-05-10,45,4.7,3.48,0 aprox,66,21,0,Telefono,Plin,308.31,235.65,,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,Carlos Salazar,Chorrillos,Vecino frecuente,2025-01-16
79,2026-03-23,43,3.85,2.22,8,149,106,0,WhatsApp,Transferencia,"298,05",293.62,Promocion,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Valeria Rojas,Lima,,2025-01-18
80,2026-02-23,48,,4.68,0,84,35,1,  Mostrador ,Yape,318.76,184.56,OK,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Yogurt familiar,Lacteos,Lacteos Lima,4.69,7.48,Luis Mendoza,Villa El Salvador,Ocasional,2025-12-18
81,2026-01-14,75,26.74,18.41,3,293,218,0,  Telefono ,Efectivo,599.56,-57.75 aprox,Revisar stock,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,  Maria Reyes ,Los Olivos,Ocasional,2025-01-02
82,2026-03-11,50,3.91,2.19,5,196,146,0,Telefono,Yape,S/ 278.29,248.93,Promocion,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Rocio Vargas,Chorrillos,Negocio,2025-12-24
83, 2026-06-22 ,31,4.92,3.36,0,260,229,0,Mostrador,Tarjeta,839.26,620.68,Cliente frecuente,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,Jorge Campos,San Miguel,NEGOCIO,2025-07-11
84,18/06/2026,,7.55,4.56,15,271,210,0,Telefono,Efectivo,391.87,300.46,Revisar stock,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Yogurt familiar,Lacteos,Lacteos Lima,4.69,7.48,Fiorella Mendoza,Los Olivos,,2025-11-07
85, 2026-06-01 ,26,5.13,3.18,0,196,165,5,WhatsApp,Transferencia,186.56,"148,13",ok,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1,Luis Reyes,Los Olivos,  Familia ,2025-06-17
86,2026/02/10,55,13.29,8.37,5,273,217,1,Mostrador,Transferencia,351.4,124.48,Revisar stock,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Aceite vegetal 1L,Aceites,  Oleo Andino ,8.03,12.76,Raul Rojas,Comas,Negocio,2025-02-04
87,2026-03-16,8,5.15,,10,85, 77 ,0,Telefono,  Efectivo ,32.18,43.34,Revisar stock,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,Rocio Vargas,Chorrillos,Negocio,2025-12-24
88,2026-05-11,6,5.07,3.47,3,170,161,3,Delivery local,  Tarjeta ,40.72,15.71,Revisar stock,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Lenteja 500g,Menestras,Campo Bueno,3.38,5.14,Marco Flores,Miraflores,FaMiLiA,2025-12-19
89,,4,5.12,3.45,0,51,47,0,Mostrador,Efectivo,34.24,22.07,OK,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,Camila Quispe,Surco,Negocio,2025-08-06
90,2026/03/05,33,2.95,1.71,15,236,203,0,Mostrador,Efectivo,203.63,202.83,,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,galletas soda,Snacks,Dulcesur,1.64,2.79,Pedro Quispe,Los Olivos,Negocio,2025-08-05
91,2026-01-21,5,2.84,1.68,0,172,,0,WhatsApp,Efectivo,21.83,27.84,Revisar stock,Abarrotes Esperanza 7,La Molina,Sur,Almacen,galletas soda,Snacks,Dulcesur,1.64,2.79,Ana Flores,San Juan de Lurigancho,Ocasional,2025-11-21
92,2026-06-01,52,2.79,1.64,0,99,47,0,Delivery local,Transferencia,477.41,427.69,Revisar stock,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,galletas soda,Snacks,Dulcesur,1.64,2.79,RoCiO SaYaN,Ate,Negocio,2025-04-18
93,2026-05-04,,"2,71",1.66, 12 ,154,103,0,Telefono,Tarjeta,339.85,353.05,Promocion,Abarrotes Esperanza 7,La Molina,Sur,Almacen,galletas soda,Snacks,Dulcesur,1.64,2.79,Maria Quispe,Ventanilla,NEGOCIO,2025-09-04
94,2026-04-04,25,9.37,6.95,12,153,128,0,delivery local,Efectivo,137.36,68.09,OK,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Detergente bolsa,Limpieza,Casa Limpia,6.62,9.65,Jorge Campos,San Miguel,NEGOCIO,2025-07-11
